Sample Name,Sample Description,Sample ID,Run ID,Experiment type,Instrument model,Release version,
"Control patient 1 left foot time 0","control_skin_left","ERS1474502","ERR1759884","amplicon","Illumina MiSeq",4.0,
"Control patient 1 right foot time 0","control_skin_right","ERS1474503","ERR1759885","amplicon","Illumina MiSeq",4.0,
"Control patient 1 left foot time 1","control_skin_left","ERS1474504","ERR1759886","amplicon","Illumina MiSeq",4.0,
"Control patient 1 right foot time 1","control_skin_right","ERS1474505","ERR1759887","amplicon","Illumina MiSeq",4.0,
"Control patient 1 left foot time 2","control_skin_left","ERS1474506","ERR1759888","amplicon","Illumina MiSeq",4.0,
"Control patient 1 right foot time 2","control_skin_right","ERS1474507","ERR1759889","amplicon","Illumina MiSeq",4.0,
"Control patient 1 left foot time 3","control_skin_left","ERS1474508","ERR1759890","amplicon","Illumina MiSeq",4.0,
"Control patient 1 right foot time 3","control_skin_right","ERS1474509","ERR1759891","amplicon","Illumina MiSeq",4.0,
"Control patient 1 left foot time 4","control_skin_left","ERS1474510","ERR1759892","amplicon","Illumina MiSeq",4.0,
"Control patient 1 right foot time 4","control_skin_right","ERS1474511","ERR1759893","amplicon","Illumina MiSeq",4.0,
"Control patient 1 left foot time 5","control_skin_left","ERS1474512","ERR1759894","amplicon","Illumina MiSeq",4.0,
"Control patient 1 right foot time 5","control_skin_right","ERS1474513","ERR1759895","amplicon","Illumina MiSeq",4.0,
"Control patient 2 left foot time 0","control_skin_left","ERS1474514","ERR1759896","amplicon","Illumina MiSeq",4.0,
"Control patient 2 right foot time 0","control_skin_right","ERS1474515","ERR1759897","amplicon","Illumina MiSeq",4.0,
"Control patient 2 left foot time 1","control_skin_left","ERS1474516","ERR1759898","amplicon","Illumina MiSeq",4.0,
"Control patient 2 right foot time 1","control_skin_right","ERS1474517","ERR1759899","amplicon","Illumina MiSeq",4.0,
"Control patient 2 left foot time 2","control_skin_left","ERS1474518","ERR1759900","amplicon","Illumina MiSeq",4.0,
"Control patient 2 right foot time 2","control_skin_right","ERS1474519","ERR1759901","amplicon","Illumina MiSeq",4.0,
"Control patient 2 left foot time 3","control_skin_left","ERS1474520","ERR1759902","amplicon","Illumina MiSeq",4.0,
"Control patient 2 right foot time 3","control_skin_right","ERS1474521","ERR1759903","amplicon","Illumina MiSeq",4.0,
"Control patient 2 left foot time 4","control_skin_left","ERS1474522","ERR1759904","amplicon","Illumina MiSeq",4.0,
"Control patient 2 right foot time 4","control_skin_right","ERS1474523","ERR1759905","amplicon","Illumina MiSeq",4.0,
"Control patient 2 left foot time 5","control_skin_left","ERS1474524","ERR1759906","amplicon","Illumina MiSeq",4.0,
"Control patient 2 right foot time 5","control_skin_right","ERS1474525","ERR1759907","amplicon","Illumina MiSeq",4.0,
"Control patient 6 left foot time 1","control_skin_left","ERS1474556","ERR1759908","amplicon","Illumina MiSeq",4.0,
"Control patient 6 right foot time 1","control_skin_right","ERS1474557","ERR1759909","amplicon","Illumina MiSeq",4.0,
"Control patient 6 left foot time 2","control_skin_left","ERS1474558","ERR1759910","amplicon","Illumina MiSeq",4.0,
"Control patient 6 right foot time 2","control_skin_right","ERS1474559","ERR1759911","amplicon","Illumina MiSeq",4.0,
"Control patient 6 left foot time 3","control_skin_left","ERS1474560","ERR1759912","amplicon","Illumina MiSeq",4.0,
"Control patient 6 right foot time 3","control_skin_right","ERS1474561","ERR1759913","amplicon","Illumina MiSeq",4.0,
"Control patient 6 left foot time 4","control_skin_left","ERS1474562","ERR1759914","amplicon","Illumina MiSeq",4.0,
"Control patient 6 right foot time 4","control_skin_right","ERS1474563","ERR1759915","amplicon","Illumina MiSeq",4.0,
"Control patient 6 left foot time 5","control_skin_left","ERS1474564","ERR1759916","amplicon","Illumina MiSeq",4.0,
"Control patient 6 right foot time 5","control_skin_right","ERS1474565","ERR1759917","amplicon","Illumina MiSeq",4.0,
"Control patient 7 left foot time 0","control_skin_left","ERS1474566","ERR1759918","amplicon","Illumina MiSeq",4.0,
"Control patient 7 left foot time 1","control_skin_left","ERS1474567","ERR1759919","amplicon","Illumina MiSeq",4.0,
"Control patient 7 right foot time 1","control_skin_right","ERS1474568","ERR1759920","amplicon","Illumina MiSeq",4.0,
"Control patient 7 left foot time 2","control_skin_left","ERS1474569","ERR1759921","amplicon","Illumina MiSeq",4.0,
"Control patient 7 right foot time 2","control_skin_right","ERS1474570","ERR1759922","amplicon","Illumina MiSeq",4.0,
"Control patient 7 left foot time 3","control_skin_left","ERS1474571","ERR1759923","amplicon","Illumina MiSeq",4.0,
"Control patient 7 right foot time 3","control_skin_right","ERS1474572","ERR1759924","amplicon","Illumina MiSeq",4.0,
"Control patient 7 left foot time 4","control_skin_left","ERS1474573","ERR1759925","amplicon","Illumina MiSeq",4.0,
"Control patient 7 left foot time 5","control_skin_left","ERS1474574","ERR1759926","amplicon","Illumina MiSeq",4.0,
"Control patient 7 right foot time 5","control_skin_right","ERS1474575","ERR1759927","amplicon","Illumina MiSeq",4.0,
"Patient 10 skin adjacent to wound time 0","diabetic_skin_adj","ERS1474612","ERR1759928","amplicon","Illumina MiSeq",4.0,
"Patient 10 skin contralateral foot to wound time 0","diabetic_skin_contra","ERS1474613","ERR1759929","amplicon","Illumina MiSeq",4.0,
"Patient 10 wound debridement time 0","wound_deb","ERS1474614","ERR1759930","amplicon","Illumina MiSeq",4.0,
"Patient 10 wound swab time 0","wound_swab","ERS1474615","ERR1759931","amplicon","Illumina MiSeq",4.0,
"Patient 10 skin adjacent to wound time 1","diabetic_skin_adj","ERS1474616","ERR1759932","amplicon","Illumina MiSeq",4.0,
"Patient 10 skin contralateral foot to wound time 1","diabetic_skin_contra","ERS1474617","ERR1759933","amplicon","Illumina MiSeq",4.0,
"Patient 10 wound debridement time 1","wound_deb","ERS1474618","ERR1759934","amplicon","Illumina MiSeq",4.0,
"Patient 10 wound swab time 1","wound_swab","ERS1474619","ERR1759935","amplicon","Illumina MiSeq",4.0,
"Patient 10 skin adjacent to wound time 2","diabetic_skin_adj","ERS1474620","ERR1759936","amplicon","Illumina MiSeq",4.0,
"Patient 10 skin contralateral foot to wound time 2","diabetic_skin_contra","ERS1474621","ERR1759937","amplicon","Illumina MiSeq",4.0,
"Patient 10 wound debridement time 2","wound_deb","ERS1474622","ERR1759938","amplicon","Illumina MiSeq",4.0,
"Patient 10 wound swab time 2","wound_swab","ERS1474623","ERR1759939","amplicon","Illumina MiSeq",4.0,
"Patient 10 skin adjacent to wound time 3","diabetic_skin_adj","ERS1474624","ERR1759940","amplicon","Illumina MiSeq",4.0,
"Patient 10 skin contralateral foot to wound time 3","diabetic_skin_contra","ERS1474625","ERR1759941","amplicon","Illumina MiSeq",4.0,
"Patient 10 wound debridement time 3","wound_deb","ERS1474626","ERR1759942","amplicon","Illumina MiSeq",4.0,
"Patient 10 wound swab time 3","wound_swab","ERS1474627","ERR1759943","amplicon","Illumina MiSeq",4.0,
"Patient 10 skin adjacent to wound time 4","diabetic_skin_adj","ERS1474628","ERR1759944","amplicon","Illumina MiSeq",4.0,
"Patient 10 skin contralateral foot to wound time 4","diabetic_skin_contra","ERS1474629","ERR1759945","amplicon","Illumina MiSeq",4.0,
"Patient 10 wound debridement time 4","wound_deb","ERS1474630","ERR1759946","amplicon","Illumina MiSeq",4.0,
"Patient 10 wound swab time 4","wound_swab","ERS1474631","ERR1759947","amplicon","Illumina MiSeq",4.0,
"Patient 4 skin adjacent to wound time 0","diabetic_skin_adj","ERS1474655","ERR1759948","amplicon","Illumina MiSeq",4.0,
"Patient 4 skin adjacent to wound time 1","diabetic_skin_adj","ERS1474656","ERR1759949","amplicon","Illumina MiSeq",4.0,
"Patient 4 skin adjacent to wound time 2","diabetic_skin_adj","ERS1474657","ERR1759950","amplicon","Illumina MiSeq",4.0,
"Patient 7 skin adjacent to wound time 0","diabetic_skin_adj","ERS1474701","ERR1759951","amplicon","Illumina MiSeq",4.0,
"Patient 7 skin contralateral foot to wound time 0","diabetic_skin_contra","ERS1474702","ERR1759952","amplicon","Illumina MiSeq",4.0,
"Patient 7 wound debridement time 0","wound_deb","ERS1474703","ERR1759953","amplicon","Illumina MiSeq",4.0,
"Patient 7 wound swab time 0","wound_swab","ERS1474704","ERR1759954","amplicon","Illumina MiSeq",4.0,
"Patient 7 skin adjacent to wound time 1","diabetic_skin_adj","ERS1474705","ERR1759955","amplicon","Illumina MiSeq",4.0,
"Patient 7 skin contralateral foot to wound time 1","diabetic_skin_contra","ERS1474706","ERR1759956","amplicon","Illumina MiSeq",4.0,
"Patient 7 wound debridement time 1","wound_deb","ERS1474707","ERR1759957","amplicon","Illumina MiSeq",4.0,
"Patient 7 wound swab time 1","wound_swab","ERS1474708","ERR1759958","amplicon","Illumina MiSeq",4.0,
"Patient 7 skin adjacent to wound time 2","diabetic_skin_adj","ERS1474709","ERR1759959","amplicon","Illumina MiSeq",4.0,
"Patient 7 skin contralateral foot to wound time 2","diabetic_skin_contra","ERS1474710","ERR1759960","amplicon","Illumina MiSeq",4.0,
"Patient 7 wound debridement time 2","wound_deb","ERS1474711","ERR1759961","amplicon","Illumina MiSeq",4.0,
"Patient 7 wound swab time 2","wound_swab","ERS1474712","ERR1759962","amplicon","Illumina MiSeq",4.0,
"Patient 7 skin adjacent to wound time 3","diabetic_skin_adj","ERS1474713","ERR1759963","amplicon","Illumina MiSeq",4.0,
"Patient 7 skin contralateral foot to wound time 3","diabetic_skin_contra","ERS1474714","ERR1759964","amplicon","Illumina MiSeq",4.0,
"Patient 7 wound swab time 3","wound_swab","ERS1474715","ERR1759965","amplicon","Illumina MiSeq",4.0,
"Patient 7 skin adjacent to wound time 4","diabetic_skin_adj","ERS1474716","ERR1759966","amplicon","Illumina MiSeq",4.0,
"Patient 7 skin contralateral foot to wound time 4","diabetic_skin_contra","ERS1474717","ERR1759967","amplicon","Illumina MiSeq",4.0,
"Patient 8 skin adjacent to wound time 0","diabetic_skin_adj","ERS1474718","ERR1759968","amplicon","Illumina MiSeq",4.0,
"Patient 8 skin contralateral foot to wound time 0","diabetic_skin_contra","ERS1474719","ERR1759969","amplicon","Illumina MiSeq",4.0,
"Patient 8 wound debridement time 0","wound_deb","ERS1474720","ERR1759970","amplicon","Illumina MiSeq",4.0,
"Patient 8 wound swab time 0","wound_swab","ERS1474721","ERR1759971","amplicon","Illumina MiSeq",4.0,
