,Sample_ID,Run_ID,Release_version,Sex,Body_site
0,SRS451417,SRR919527,2.0,male,antecubital crease
1,SRS451417,SRR919587,2.0,male,antecubital crease
2,SRS451418,SRR919528,2.0,male,back
3,SRS451418,SRR919588,2.0,male,back
4,SRS451419,SRR919529,2.0,male,external auditory canal
5,SRS451419,SRR919589,2.0,male,external auditory canal
6,SRS451420,SRR919530,2.0,male,hypothenar palm
7,SRS451420,SRR919590,2.0,male,hypothenar palm
8,SRS451421,SRR919531,2.0,male,retroauricular crease
9,SRS451421,SRR919591,2.0,male,retroauricular crease
10,SRS451422,SRR919532,2.0,male,toeweb
11,SRS451422,SRR919592,2.0,male,toeweb
12,SRS451423,SRR919533,2.0,male,retroauricular crease
13,SRS451423,SRR919593,2.0,male,retroauricular crease
14,SRS451424,SRR919534,2.0,male,toeweb
15,SRS451424,SRR919594,2.0,male,toeweb
16,SRS451425,SRR919535,2.0,male,antecubital crease
17,SRS451425,SRR919595,2.0,male,antecubital crease
18,SRS451426,SRR919537,2.0,male,glabella
19,SRS451426,SRR919597,2.0,male,glabella
20,SRS451427,SRR919536,2.0,male,back
21,SRS451427,SRR919596,2.0,male,back
22,SRS451428,SRR919538,2.0,male,hypothenar palm
23,SRS451428,SRR919598,2.0,male,hypothenar palm
24,SRS451429,SRR919539,2.0,male,inguinal crease
25,SRS451429,SRR919599,2.0,male,inguinal crease
26,SRS451430,SRR919540,2.0,male,manubrium
27,SRS451430,SRR919600,2.0,male,manubrium
28,SRS451431,SRR919541,2.0,male,occiput
29,SRS451431,SRR919601,2.0,male,occiput
30,SRS451432,SRR919542,2.0,male,plantar heel
31,SRS451432,SRR919602,2.0,male,plantar heel
32,SRS451433,SRR919543,2.0,male,retroauricular crease
33,SRS451433,SRR919603,2.0,male,retroauricular crease
34,SRS451434,SRR919544,2.0,male,toeweb
35,SRS451434,SRR919604,2.0,male,toeweb
36,SRS451435,SRR919545,2.0,male,volar forearm
37,SRS451435,SRR919605,2.0,male,volar forearm
38,SRS451436,SRR919546,2.0,male,antecubital crease
39,SRS451436,SRR919606,2.0,male,antecubital crease
40,SRS451437,SRR919547,2.0,male,antecubital crease
41,SRS451437,SRR919607,2.0,male,antecubital crease
42,SRS451438,SRR919548,2.0,male,back
43,SRS451438,SRR919608,2.0,male,back
44,SRS451439,SRR919549,2.0,male,external auditory canal
45,SRS451439,SRR919609,2.0,male,external auditory canal
46,SRS451440,SRR919550,2.0,male,glabella
47,SRS451440,SRR919610,2.0,male,glabella
48,SRS451441,SRR919551,2.0,male,hypothenar palm
49,SRS451441,SRR919611,2.0,male,hypothenar palm
50,SRS451442,SRR919552,2.0,male,hypothenar palm
51,SRS451442,SRR919612,2.0,male,hypothenar palm
52,SRS451443,SRR919553,2.0,male,inguinal crease
53,SRS451443,SRR919613,2.0,male,inguinal crease
54,SRS451444,SRR919554,2.0,male,inguinal crease
55,SRS451444,SRR919614,2.0,male,inguinal crease
56,SRS451445,SRR919555,2.0,male,manubrium
57,SRS451445,SRR919615,2.0,male,manubrium
58,SRS451446,SRR919556,2.0,male,nare
59,SRS451446,SRR919616,2.0,male,nare
60,SRS451447,SRR919557,2.0,male,occiput
61,SRS451447,SRR919617,2.0,male,occiput
62,SRS451448,SRR919558,2.0,male,plantar heel
63,SRS451448,SRR919618,2.0,male,plantar heel
64,SRS451449,SRR919559,2.0,male,plantar heel
65,SRS451449,SRR919619,2.0,male,plantar heel
66,SRS451450,SRR919560,2.0,male,retroauricular crease
67,SRS451450,SRR919620,2.0,male,retroauricular crease
68,SRS451451,SRR919561,2.0,male,retroauricular crease
69,SRS451451,SRR919621,2.0,male,retroauricular crease
70,SRS451452,SRR919562,2.0,male,toenail
71,SRS451452,SRR919622,2.0,male,toenail
72,SRS451453,SRR919563,2.0,male,toeweb
73,SRS451453,SRR919623,2.0,male,toeweb
74,SRS451454,SRR919564,2.0,male,toeweb
75,SRS451454,SRR919624,2.0,male,toeweb
76,SRS451455,SRR919565,2.0,male,volar forearm
77,SRS451455,SRR919625,2.0,male,volar forearm
78,SRS451456,SRR919566,2.0,male,volar forearm
79,SRS451456,SRR919626,2.0,male,volar forearm
80,SRS451457,SRR919567,2.0,female,antecubital crease
81,SRS451457,SRR919627,2.0,female,antecubital crease
82,SRS451458,SRR919568,2.0,female,antecubital crease
83,SRS451458,SRR919628,2.0,female,antecubital crease
84,SRS451459,SRR919569,2.0,female,back
85,SRS451459,SRR919629,2.0,female,back
86,SRS451460,SRR919570,2.0,female,external auditory canal
87,SRS451460,SRR919630,2.0,female,external auditory canal
88,SRS451461,SRR919571,2.0,female,glabella
89,SRS451461,SRR919631,2.0,female,glabella
90,SRS451462,SRR919572,2.0,female,hypothenar palm
91,SRS451462,SRR919632,2.0,female,hypothenar palm
92,SRS451463,SRR919573,2.0,female,hypothenar palm
93,SRS451463,SRR919633,2.0,female,hypothenar palm
94,SRS451464,SRR919574,2.0,female,inguinal crease
95,SRS451464,SRR919634,2.0,female,inguinal crease
96,SRS451465,SRR919575,2.0,female,inguinal crease
97,SRS451465,SRR919635,2.0,female,inguinal crease
98,SRS451466,SRR919576,2.0,female,manubrium
99,SRS451466,SRR919636,2.0,female,manubrium
100,SRS451467,SRR919577,2.0,female,nare
101,SRS451467,SRR919637,2.0,female,nare
102,SRS451468,SRR919578,2.0,female,occiput
103,SRS451468,SRR919638,2.0,female,occiput
104,SRS451469,SRR919579,2.0,female,plantar heel
105,SRS451469,SRR919639,2.0,female,plantar heel
106,SRS451470,SRR919580,2.0,female,plantar heel
107,SRS451470,SRR919640,2.0,female,plantar heel
108,SRS451471,SRR919581,2.0,female,retroauricular crease
109,SRS451471,SRR919641,2.0,female,retroauricular crease
110,SRS451472,SRR919582,2.0,female,retroauricular crease
111,SRS451472,SRR919642,2.0,female,retroauricular crease
112,SRS451473,SRR919583,2.0,female,toeweb
113,SRS451473,SRR919643,2.0,female,toeweb
114,SRS451474,SRR919584,2.0,female,toeweb
115,SRS451474,SRR919644,2.0,female,toeweb
116,SRS451475,SRR919585,2.0,female,volar forearm
117,SRS451475,SRR919645,2.0,female,volar forearm
118,SRS451476,SRR919586,2.0,female,volar forearm
119,SRS451476,SRR919646,2.0,female,volar forearm
120,SRS451578,SRR919849,2.0,female,antecubital crease
121,SRS451578,SRR919899,2.0,female,antecubital crease
122,SRS451579,SRR919850,2.0,female,antecubital crease
123,SRS451579,SRR919900,2.0,female,antecubital crease
124,SRS451580,SRR919851,2.0,female,volar forearm
125,SRS451580,SRR919901,2.0,female,volar forearm
126,SRS451581,SRR919852,2.0,female,volar forearm
127,SRS451581,SRR919902,2.0,female,volar forearm
128,SRS451582,SRR919853,2.0,female,inguinal crease
129,SRS451582,SRR919903,2.0,female,inguinal crease
130,SRS451583,SRR919854,2.0,female,inguinal crease
131,SRS451583,SRR919904,2.0,female,inguinal crease
132,SRS451584,SRR919855,2.0,female,nare
133,SRS451584,SRR919905,2.0,female,nare
134,SRS451585,SRR919856,2.0,female,nare
135,SRS451585,SRR919906,2.0,female,nare
136,SRS451586,SRR919857,2.0,female,plantar heel
