,Organism/Name,Strain,Refseq
0,Cutibacterium acnes KPA171202,KPA171202,NC_006085.1
1,Cutibacterium acnes SK137,SK137,NC_014039.1
2,Cutibacterium acnes 266,266,NC_017534.1
3,Cutibacterium acnes 6609,6609,NC_017535.1
4,Cutibacterium acnes subsp. defendens ATCC 11828,ATCC 11828,NC_017550.1
5,Cutibacterium acnes TypeIA2 P.acn33,P.acn33,NC_016516.1
6,Cutibacterium acnes TypeIA2 P.acn17,P.acn17,NC_016512.1
7,Cutibacterium acnes TypeIA2 P.acn31,P.acn31,NC_016511.1
8,Cutibacterium acnes C1,C1,NC_018707.1
9,Cutibacterium acnes HL096PA1,HL096PA1,NC_021085.1
10,Cutibacterium acnes hdn-1,hdn-1,NZ_CP006032.1
11,Cutibacterium acnes,KCOM 1861 (= ChDC B594),NZ_CP012647.1
12,Cutibacterium acnes,PA_15_1_R1,NZ_CP012355.1
13,Cutibacterium acnes,PA_21_1_L1,NZ_CP012351.1
14,Cutibacterium acnes,PA_15_2_L1,NZ_CP012352.1
15,Cutibacterium acnes,PA_12_1_L1,NZ_CP012354.1
16,Cutibacterium acnes,ATCC 6919,NZ_CP023676.1
17,Cutibacterium acnes,KCOM 1315,NZ_CP031442.1
