,Organism/Name,Strain,Refseq
0,Staphylococcus epidermidis ATCC 12228,ATCC 12228,NC_004461.1
1,Staphylococcus epidermidis RP62A,RP62A,NC_002976.3
2,Staphylococcus epidermidis PM221,PM221,NZ_HG813242.1
3,Staphylococcus epidermidis,SEI,NZ_CP009046.1
4,Staphylococcus epidermidis,14.1.R1,CP018841.1;
5,Staphylococcus epidermidis,1457,NZ_CP020463.1
6,Staphylococcus epidermidis,ATCC 12228,NZ_CP022247.1
7,Staphylococcus epidermidis,DAR1907,NZ_CP013943.1
8,Staphylococcus epidermidis,FDAARGOS_153,NZ_CP014119.1
9,Staphylococcus epidermidis,FDAARGOS_161,NZ_CP014132.1
10,Staphylococcus epidermidis,CSF41498,NZ_CP030246.1
11,Staphylococcus epidermidis,BPH0662,NZ_LT571449.1
