,Sample_ID,Run_ID,Release_version,Sex,Body_site
80,SRS451457,SRR919567,2.0,female ,antecubital crease 
81,SRS451457,SRR919627,2.0,female ,antecubital crease 
82,SRS451458,SRR919568,2.0,female ,antecubital crease 
83,SRS451458,SRR919628,2.0,female ,antecubital crease 
120,SRS451578,SRR919849,2.0,female ,antecubital crease 
121,SRS451578,SRR919899,2.0,female ,antecubital crease 
122,SRS451579,SRR919850,2.0,female ,antecubital crease 
123,SRS451579,SRR919900,2.0,female ,antecubital crease 
270,SRS451734,SRR920136,2.0,female ,antecubital crease 
271,SRS451734,SRR920183,2.0,female ,antecubital crease 
272,SRS451735,SRR920137,2.0,female ,antecubital crease 
273,SRS451735,SRR920184,2.0,female ,antecubital crease 
328,SRS451763,SRR920212,2.0,female ,antecubital crease 
329,SRS451763,SRR920243,2.0,female ,antecubital crease 
330,SRS451764,SRR920213,2.0,female ,antecubital crease 
331,SRS451764,SRR920244,2.0,female ,antecubital crease 
428,SRS451890,SRR920602,2.0,female ,antecubital crease 
429,SRS451890,SRR920689,2.0,female ,antecubital crease 
432,SRS451892,SRR920603,2.0,female ,antecubital crease 
433,SRS451892,SRR920690,2.0,female ,antecubital crease 
