,Sample_ID,Run_ID,Release_version,Sex,Body_site
86,SRS451460,SRR919570,2.0,female ,external auditory canal 
87,SRS451460,SRR919630,2.0,female ,external auditory canal 
156,SRS451596,SRR919867,2.0,female ,external auditory canal 
157,SRS451596,SRR919917,2.0,female ,external auditory canal 
158,SRS451597,SRR919868,2.0,female ,external auditory canal 
159,SRS451597,SRR919918,2.0,female ,external auditory canal 
276,SRS451737,SRR920139,2.0,female ,external auditory canal 
277,SRS451737,SRR920186,2.0,female ,external auditory canal 
278,SRS451738,SRR920140,2.0,female ,external auditory canal 
279,SRS451738,SRR920187,2.0,female ,external auditory canal 
334,SRS451766,SRR920215,2.0,female ,external auditory canal 
335,SRS451766,SRR920246,2.0,female ,external auditory canal 
336,SRS451767,SRR920216,2.0,female ,external auditory canal 
337,SRS451767,SRR920247,2.0,female ,external auditory canal 
434,SRS451893,SRR920604,2.0,female ,external auditory canal 
435,SRS451893,SRR920691,2.0,female ,external auditory canal 
436,SRS451894,SRR920605,2.0,female ,external auditory canal 
437,SRS451894,SRR920692,2.0,female ,external auditory canal 
746,SRS452124,SRR921060,2.0,female ,external auditory canal 
747,SRS452124,SRR921123,2.0,female ,external auditory canal 
