,Sample_ID,Run_ID,Release_version,Sex,Body_site
98,SRS451466,SRR919576,2.0,female ,manubrium 
99,SRS451466,SRR919636,2.0,female ,manubrium 
148,SRS451592,SRR919863,2.0,female ,manubrium 
149,SRS451592,SRR919913,2.0,female ,manubrium 
290,SRS451744,SRR920146,2.0,female ,manubrium 
291,SRS451744,SRR920193,2.0,female ,manubrium 
318,SRS451758,SRR920207,2.0,female ,manubrium 
319,SRS451758,SRR920238,2.0,female ,manubrium 
348,SRS451773,SRR920222,2.0,female ,manubrium 
349,SRS451773,SRR920253,2.0,female ,manubrium 
450,SRS451901,SRR920612,2.0,female ,manubrium 
451,SRS451901,SRR920699,2.0,female ,manubrium 
