,Sample_ID,Run_ID,Release_version,Sex,Body_site
100,SRS451467,SRR919577,2.0,female ,nare 
101,SRS451467,SRR919637,2.0,female ,nare 
132,SRS451584,SRR919855,2.0,female ,nare 
133,SRS451584,SRR919905,2.0,female ,nare 
134,SRS451585,SRR919856,2.0,female ,nare 
135,SRS451585,SRR919906,2.0,female ,nare 
292,SRS451745,SRR920147,2.0,female ,nare 
293,SRS451745,SRR920194,2.0,female ,nare 
294,SRS451746,SRR920148,2.0,female ,nare 
295,SRS451746,SRR920195,2.0,female ,nare 
350,SRS451774,SRR920223,2.0,female ,nare 
351,SRS451774,SRR920254,2.0,female ,nare 
352,SRS451775,SRR920224,2.0,female ,nare 
353,SRS451775,SRR920255,2.0,female ,nare 
452,SRS451902,SRR920613,2.0,female ,nare 
453,SRS451902,SRR920700,2.0,female ,nare 
454,SRS451903,SRR920614,2.0,female ,nare 
455,SRS451903,SRR920701,2.0,female ,nare 
556,SRS452029,SRR920902,2.0,female ,nare 
557,SRS452029,SRR920965,2.0,female ,nare 
748,SRS452125,SRR921061,2.0,female ,nare 
749,SRS452125,SRR921124,2.0,female ,nare 
812,SRS482339,SRR994409,2.0,female ,nare 
813,SRS482339,SRR994479,2.0,female ,nare 
826,SRS482346,SRR994416,2.0,female ,nare 
827,SRS482346,SRR994486,2.0,female ,nare 
840,SRS482353,SRR994423,2.0,female ,nare 
841,SRS482353,SRR994493,2.0,female ,nare 
852,SRS482359,SRR994429,2.0,female ,nare 
853,SRS482359,SRR994499,2.0,female ,nare 
918,SRS482392,SRR994462,2.0,female ,nare 
919,SRS482392,SRR994532,2.0,female ,nare 
932,SRS482399,SRR994469,2.0,female ,nare 
933,SRS482399,SRR994539,2.0,female ,nare 
996,SRS482431,SRR994571,2.0,female ,nare 
997,SRS482431,SRR994654,2.0,female ,nare 
1010,SRS482438,SRR994578,2.0,female ,nare 
1011,SRS482438,SRR994661,2.0,female ,nare 
1024,SRS482445,SRR994585,2.0,female ,nare 
1025,SRS482445,SRR994668,2.0,female ,nare 
1134,SRS482500,SRR994723,2.0,female ,nare 
1135,SRS482500,SRR994812,2.0,female ,nare 
1184,SRS482525,SRR994748,2.0,female ,nare 
1185,SRS482525,SRR994837,2.0,female ,nare 
1194,SRS482530,SRR994753,2.0,female ,nare 
1195,SRS482530,SRR994842,2.0,female ,nare 
1252,SRS482559,SRR994782,2.0,female ,nare 
1253,SRS482559,SRR994871,2.0,female ,nare 
1262,SRS482564,SRR994787,2.0,female ,nare 
1263,SRS482564,SRR994876,2.0,female ,nare 
1274,SRS482570,SRR994792,2.0,female ,nare 
1275,SRS482570,SRR994881,2.0,female ,nare 
1282,SRS482574,SRR994797,2.0,female ,nare 
1283,SRS482574,SRR994886,2.0,female ,nare 
1288,SRS482589,SRR994913,2.0,female ,nare 
1289,SRS482589,SRR994927,2.0,female ,nare 
1300,SRS482595,SRR994919,2.0,female ,nare 
1301,SRS482595,SRR994933,2.0,female ,nare 
1316,SRS482603,SRR994940,2.0,female ,nare 
1317,SRS482603,SRR994989,2.0,female ,nare 
1342,SRS482616,SRR994954,2.0,female ,nare 
1343,SRS482616,SRR995003,2.0,female ,nare 
1354,SRS482622,SRR994960,2.0,female ,nare 
1355,SRS482622,SRR995009,2.0,female ,nare 
1380,SRS482635,SRR994973,2.0,female ,nare 
1381,SRS482635,SRR995022,2.0,female ,nare 
1414,SRS482652,SRR995039,2.0,female ,nare 
1415,SRS482652,SRR995066,2.0,female ,nare 
1428,SRS482659,SRR995046,2.0,female ,nare 
1429,SRS482659,SRR995073,2.0,female ,nare 
1440,SRS482665,SRR995052,2.0,female ,nare 
1441,SRS482665,SRR995079,2.0,female ,nare 
1464,SRS482677,SRR995064,2.0,female ,nare 
1465,SRS482677,SRR995091,2.0,female ,nare 
1492,SRS482691,SRR995105,2.0,female ,nare 
1493,SRS482691,SRR995149,2.0,female ,nare 
1502,SRS482696,SRR995110,2.0,female ,nare 
1503,SRS482696,SRR995154,2.0,female ,nare 
1512,SRS482701,SRR995115,2.0,female ,nare 
1513,SRS482701,SRR995159,2.0,female ,nare 
1532,SRS482711,SRR995125,2.0,female ,nare 
1533,SRS482711,SRR995169,2.0,female ,nare 
1542,SRS482716,SRR995130,2.0,female ,nare 
1543,SRS482716,SRR995174,2.0,female ,nare 
1552,SRS482721,SRR995135,2.0,female ,nare 
1553,SRS482721,SRR995179,2.0,female ,nare 
1636,SRS482808,SRR995319,2.0,female ,nare 
1637,SRS482808,SRR995387,2.0,female ,nare 
1640,SRS482810,SRR995321,2.0,female ,nare 
1641,SRS482810,SRR995389,2.0,female ,nare 
1710,SRS482861,SRR995456,2.0,female ,nare 
1711,SRS482861,SRR995470,2.0,female ,nare 
1712,SRS482862,SRR995457,2.0,female ,nare 
1713,SRS482862,SRR995471,2.0,female ,nare 
1826,SRS482922,SRR995586,2.0,female ,nare 
1827,SRS482922,SRR995636,2.0,female ,nare 
1828,SRS482923,SRR995587,2.0,female ,nare 
1829,SRS482923,SRR995637,2.0,female ,nare 
1830,SRS482924,SRR995589,2.0,female ,nare 
1831,SRS482924,SRR995639,2.0,female ,nare 
1832,SRS482925,SRR995588,2.0,female ,nare 
1833,SRS482925,SRR995638,2.0,female ,nare 
1834,SRS482926,SRR995590,2.0,female ,nare 
1835,SRS482926,SRR995640,2.0,female ,nare 
1844,SRS482931,SRR995595,2.0,female ,nare 
1845,SRS482931,SRR995645,2.0,female ,nare 
1846,SRS482932,SRR995596,2.0,female ,nare 
1847,SRS482932,SRR995646,2.0,female ,nare 
1848,SRS482933,SRR995597,2.0,female ,nare 
1849,SRS482933,SRR995647,2.0,female ,nare 
1944,SRS482981,SRR995695,2.0,female ,nare 
1945,SRS482981,SRR995730,2.0,female ,nare 
1974,SRS482996,SRR995710,2.0,female ,nare 
1975,SRS482996,SRR995745,2.0,female ,nare 
2004,SRS483081,SRR995900,2.0,female ,nare 
2005,SRS483081,SRR995974,2.0,female ,nare 
2012,SRS483085,SRR995905,2.0,female ,nare 
2013,SRS483085,SRR995979,2.0,female ,nare 
2024,SRS483091,SRR995910,2.0,female ,nare 
2025,SRS483091,SRR995984,2.0,female ,nare 
2034,SRS483096,SRR995915,2.0,female ,nare 
2035,SRS483096,SRR995989,2.0,female ,nare 
2042,SRS483100,SRR995919,2.0,female ,nare 
2043,SRS483100,SRR995993,2.0,female ,nare 
2052,SRS483105,SRR995924,2.0,female ,nare 
2053,SRS483105,SRR995998,2.0,female ,nare 
2064,SRS483111,SRR995929,2.0,female ,nare 
2065,SRS483111,SRR996003,2.0,female ,nare 
2240,SRS483199,SRR996091,2.0,female ,nare 
2241,SRS483199,SRR996159,2.0,female ,nare 
2268,SRS483213,SRR996106,2.0,female ,nare 
2269,SRS483213,SRR996174,2.0,female ,nare 
2382,SRS483270,SRR996231,2.0,female ,nare 
2383,SRS483270,SRR996283,2.0,female ,nare 
2396,SRS483277,SRR996290,2.0,female ,nare 
2397,SRS483277,SRR996299,2.0,female ,nare 
2504,SRS483331,SRR996353,2.0,female ,nare 
2505,SRS483331,SRR996425,2.0,female ,nare 
2514,SRS483336,SRR996358,2.0,female ,nare 
2515,SRS483336,SRR996430,2.0,female ,nare 
2520,SRS483339,SRR996361,2.0,female ,nare 
2521,SRS483339,SRR996433,2.0,female ,nare 
2526,SRS483342,SRR996364,2.0,female ,nare 
2527,SRS483342,SRR996436,2.0,female ,nare 
2938,SRS483542,SRR996872,2.0,female ,nare 
2939,SRS483542,SRR996932,2.0,female ,nare 
2948,SRS483547,SRR996876,2.0,female ,nare 
2949,SRS483547,SRR996936,2.0,female ,nare 
2978,SRS483562,SRR996892,2.0,female ,nare 
2979,SRS483562,SRR996952,2.0,female ,nare 
2988,SRS483567,SRR996956,2.0,female ,nare 
2989,SRS483567,SRR997041,2.0,female ,nare 
2996,SRS483571,SRR996960,2.0,female ,nare 
2997,SRS483571,SRR997045,2.0,female ,nare 
3004,SRS483575,SRR996964,2.0,female ,nare 
3005,SRS483575,SRR997049,2.0,female ,nare 
3036,SRS483591,SRR996980,2.0,female ,nare 
3037,SRS483591,SRR997065,2.0,female ,nare 
3044,SRS483595,SRR996984,2.0,female ,nare 
3045,SRS483595,SRR997069,2.0,female ,nare 
3052,SRS483599,SRR996988,2.0,female ,nare 
3053,SRS483599,SRR997073,2.0,female ,nare 
3086,SRS483616,SRR997004,2.0,female ,nare 
3087,SRS483616,SRR997089,2.0,female ,nare 
3092,SRS483619,SRR997008,2.0,female ,nare 
3093,SRS483619,SRR997093,2.0,female ,nare 
3100,SRS483623,SRR997012,2.0,female ,nare 
3101,SRS483623,SRR997097,2.0,female ,nare 
