,Sample_ID,Run_ID,Release_version,Sex,Body_site
102,SRS451468,SRR919578,2.0,female ,occiput 
103,SRS451468,SRR919638,2.0,female ,occiput 
150,SRS451593,SRR919864,2.0,female ,occiput 
151,SRS451593,SRR919914,2.0,female ,occiput 
296,SRS451747,SRR920149,2.0,female ,occiput 
297,SRS451747,SRR920196,2.0,female ,occiput 
356,SRS451777,SRR920225,2.0,female ,occiput 
357,SRS451777,SRR920256,2.0,female ,occiput 
456,SRS451904,SRR920615,2.0,female ,occiput 
457,SRS451904,SRR920702,2.0,female ,occiput 
558,SRS452030,SRR920903,2.0,female ,occiput 
559,SRS452030,SRR920966,2.0,female ,occiput 
742,SRS452122,SRR921058,2.0,female ,occiput 
743,SRS452122,SRR921121,2.0,female ,occiput 
