,Sample_ID,Run_ID,Release_version,Sex,Body_site
108,SRS451471,SRR919581,2.0,female ,retroauricular crease 
109,SRS451471,SRR919641,2.0,female ,retroauricular crease 
110,SRS451472,SRR919582,2.0,female ,retroauricular crease 
111,SRS451472,SRR919642,2.0,female ,retroauricular crease 
144,SRS451590,SRR919861,2.0,female ,retroauricular crease 
145,SRS451590,SRR919911,2.0,female ,retroauricular crease 
146,SRS451591,SRR919862,2.0,female ,retroauricular crease 
147,SRS451591,SRR919912,2.0,female ,retroauricular crease 
220,SRS451709,SRR920111,2.0,female ,retroauricular crease 
221,SRS451709,SRR920158,2.0,female ,retroauricular crease 
300,SRS451749,SRR920151,2.0,female ,retroauricular crease 
301,SRS451749,SRR920198,2.0,female ,retroauricular crease 
302,SRS451750,SRR920152,2.0,female ,retroauricular crease 
303,SRS451750,SRR920199,2.0,female ,retroauricular crease 
360,SRS451779,SRR920229,2.0,female ,retroauricular crease 
361,SRS451779,SRR920260,2.0,female ,retroauricular crease 
362,SRS451780,SRR920228,2.0,female ,retroauricular crease 
363,SRS451780,SRR920259,2.0,female ,retroauricular crease 
376,SRS451864,SRR920575,2.0,female ,retroauricular crease 
377,SRS451864,SRR920662,2.0,female ,retroauricular crease 
378,SRS451865,SRR920576,2.0,female ,retroauricular crease 
379,SRS451865,SRR920663,2.0,female ,retroauricular crease 
460,SRS451906,SRR920618,2.0,female ,retroauricular crease 
461,SRS451906,SRR920705,2.0,female ,retroauricular crease 
464,SRS451908,SRR920619,2.0,female ,retroauricular crease 
465,SRS451908,SRR920706,2.0,female ,retroauricular crease 
564,SRS452033,SRR920906,2.0,female ,retroauricular crease 
565,SRS452033,SRR920969,2.0,female ,retroauricular crease 
566,SRS452034,SRR920907,2.0,female ,retroauricular crease 
567,SRS452034,SRR920970,2.0,female ,retroauricular crease 
1136,SRS482501,SRR994724,2.0,female ,retroauricular crease 
1137,SRS482501,SRR994813,2.0,female ,retroauricular crease 
1188,SRS482527,SRR994749,2.0,female ,retroauricular crease 
1189,SRS482527,SRR994838,2.0,female ,retroauricular crease 
1196,SRS482531,SRR994754,2.0,female ,retroauricular crease 
1197,SRS482531,SRR994843,2.0,female ,retroauricular crease 
1256,SRS482561,SRR994783,2.0,female ,retroauricular crease 
1257,SRS482561,SRR994872,2.0,female ,retroauricular crease 
1264,SRS482565,SRR994788,2.0,female ,retroauricular crease 
1265,SRS482565,SRR994877,2.0,female ,retroauricular crease 
1272,SRS482569,SRR994793,2.0,female ,retroauricular crease 
1273,SRS482569,SRR994882,2.0,female ,retroauricular crease 
1284,SRS482575,SRR994798,2.0,female ,retroauricular crease 
1285,SRS482575,SRR994887,2.0,female ,retroauricular crease 
1290,SRS482590,SRR994914,2.0,female ,retroauricular crease 
1291,SRS482590,SRR994928,2.0,female ,retroauricular crease 
1314,SRS482602,SRR994941,2.0,female ,retroauricular crease 
1315,SRS482602,SRR994990,2.0,female ,retroauricular crease 
1344,SRS482617,SRR994955,2.0,female ,retroauricular crease 
1345,SRS482617,SRR995004,2.0,female ,retroauricular crease 
1356,SRS482623,SRR994961,2.0,female ,retroauricular crease 
1357,SRS482623,SRR995010,2.0,female ,retroauricular crease 
1382,SRS482636,SRR994974,2.0,female ,retroauricular crease 
1383,SRS482636,SRR995023,2.0,female ,retroauricular crease 
1412,SRS482651,SRR995038,2.0,female ,retroauricular crease 
1413,SRS482651,SRR995065,2.0,female ,retroauricular crease 
1424,SRS482657,SRR995044,2.0,female ,retroauricular crease 
1425,SRS482657,SRR995071,2.0,female ,retroauricular crease 
1430,SRS482660,SRR995047,2.0,female ,retroauricular crease 
1431,SRS482660,SRR995074,2.0,female ,retroauricular crease 
1442,SRS482666,SRR995053,2.0,female ,retroauricular crease 
1443,SRS482666,SRR995080,2.0,female ,retroauricular crease 
1490,SRS482690,SRR995104,2.0,female ,retroauricular crease 
