,Sample_ID,Run_ID,Release_version,Sex,Body_site
866,SRS482366,SRR994436,2.0,male ,antecubital fossa 
867,SRS482366,SRR994506,2.0,male ,antecubital fossa 
868,SRS482367,SRR994437,2.0,male ,antecubital fossa 
869,SRS482367,SRR994507,2.0,male ,antecubital fossa 
880,SRS482373,SRR994443,2.0,male ,antecubital fossa 
881,SRS482373,SRR994513,2.0,male ,antecubital fossa 
882,SRS482374,SRR994444,2.0,male ,antecubital fossa 
883,SRS482374,SRR994514,2.0,male ,antecubital fossa 
942,SRS482404,SRR994544,2.0,male ,antecubital fossa 
943,SRS482404,SRR994627,2.0,male ,antecubital fossa 
944,SRS482405,SRR994545,2.0,male ,antecubital fossa 
945,SRS482405,SRR994628,2.0,male ,antecubital fossa 
956,SRS482411,SRR994551,2.0,male ,antecubital fossa 
957,SRS482411,SRR994634,2.0,male ,antecubital fossa 
958,SRS482412,SRR994552,2.0,male ,antecubital fossa 
959,SRS482412,SRR994635,2.0,male ,antecubital fossa 
968,SRS482417,SRR994558,2.0,male ,antecubital fossa 
969,SRS482417,SRR994641,2.0,male ,antecubital fossa 
972,SRS482419,SRR994559,2.0,male ,antecubital fossa 
973,SRS482419,SRR994642,2.0,male ,antecubital fossa 
1026,SRS482446,SRR994586,2.0,male ,antecubital fossa 
1027,SRS482446,SRR994669,2.0,male ,antecubital fossa 
1028,SRS482447,SRR994587,2.0,male ,antecubital fossa 
1029,SRS482447,SRR994670,2.0,male ,antecubital fossa 
1040,SRS482453,SRR994593,2.0,male ,antecubital fossa 
1041,SRS482453,SRR994676,2.0,male ,antecubital fossa 
1042,SRS482454,SRR994594,2.0,male ,antecubital fossa 
1043,SRS482454,SRR994677,2.0,male ,antecubital fossa 
1054,SRS482460,SRR994600,2.0,male ,antecubital fossa 
1055,SRS482460,SRR994683,2.0,male ,antecubital fossa 
1056,SRS482461,SRR994601,2.0,male ,antecubital fossa 
1057,SRS482461,SRR994684,2.0,male ,antecubital fossa 
1068,SRS482467,SRR994607,2.0,male ,antecubital fossa 
1069,SRS482467,SRR994690,2.0,male ,antecubital fossa 
1076,SRS482471,SRR994611,2.0,male ,antecubital fossa 
1077,SRS482471,SRR994694,2.0,male ,antecubital fossa 
1084,SRS482475,SRR994615,2.0,male ,antecubital fossa 
1085,SRS482475,SRR994698,2.0,male ,antecubital fossa 
1092,SRS482479,SRR994619,2.0,male ,antecubital fossa 
1093,SRS482479,SRR994702,2.0,male ,antecubital fossa 
1100,SRS482483,SRR994623,2.0,male ,antecubital fossa 
1101,SRS482483,SRR994706,2.0,male ,antecubital fossa 
1108,SRS482487,SRR994710,2.0,male ,antecubital fossa 
1109,SRS482487,SRR994799,2.0,male ,antecubital fossa 
1110,SRS482488,SRR994711,2.0,male ,antecubital fossa 
1111,SRS482488,SRR994800,2.0,male ,antecubital fossa 
1118,SRS482492,SRR994715,2.0,male ,antecubital fossa 
1119,SRS482492,SRR994804,2.0,male ,antecubital fossa 
1120,SRS482493,SRR994716,2.0,male ,antecubital fossa 
1121,SRS482493,SRR994805,2.0,male ,antecubital fossa 
1138,SRS482502,SRR994725,2.0,male ,antecubital fossa 
1139,SRS482502,SRR994814,2.0,male ,antecubital fossa 
1140,SRS482503,SRR994726,2.0,male ,antecubital fossa 
1141,SRS482503,SRR994815,2.0,male ,antecubital fossa 
1148,SRS482507,SRR994730,2.0,male ,antecubital fossa 
1149,SRS482507,SRR994819,2.0,male ,antecubital fossa 
1152,SRS482509,SRR994731,2.0,male ,antecubital fossa 
1153,SRS482509,SRR994820,2.0,male ,antecubital fossa 
1158,SRS482512,SRR994735,2.0,male ,antecubital fossa 
1159,SRS482512,SRR994824,2.0,male ,antecubital fossa 
1160,SRS482513,SRR994736,2.0,male ,antecubital fossa 
1161,SRS482513,SRR994825,2.0,male ,antecubital fossa 
1166,SRS482516,SRR994740,2.0,male ,antecubital fossa 
1167,SRS482516,SRR994829,2.0,male ,antecubital fossa 
1170,SRS482518,SRR994741,2.0,male ,antecubital fossa 
1171,SRS482518,SRR994830,2.0,male ,antecubital fossa 
1198,SRS482532,SRR994755,2.0,male ,antecubital fossa 
1199,SRS482532,SRR994844,2.0,male ,antecubital fossa 
1200,SRS482533,SRR994756,2.0,male ,antecubital fossa 
1201,SRS482533,SRR994845,2.0,male ,antecubital fossa 
1208,SRS482537,SRR994760,2.0,male ,antecubital fossa 
1209,SRS482537,SRR994849,2.0,male ,antecubital fossa 
1210,SRS482538,SRR994761,2.0,male ,antecubital fossa 
1211,SRS482538,SRR994850,2.0,male ,antecubital fossa 
1220,SRS482543,SRR994765,2.0,male ,antecubital fossa 
1221,SRS482543,SRR994854,2.0,male ,antecubital fossa 
1226,SRS482546,SRR994769,2.0,male ,antecubital fossa 
1227,SRS482546,SRR994858,2.0,male ,antecubital fossa 
1228,SRS482547,SRR994770,2.0,male ,antecubital fossa 
1229,SRS482547,SRR994859,2.0,male ,antecubital fossa 
1236,SRS482551,SRR994774,2.0,male ,antecubital fossa 
1237,SRS482551,SRR994863,2.0,male ,antecubital fossa 
1240,SRS482553,SRR994775,2.0,male ,antecubital fossa 
1241,SRS482553,SRR994864,2.0,male ,antecubital fossa 
1292,SRS482591,SRR994915,2.0,male ,antecubital fossa 
1293,SRS482591,SRR994929,2.0,male ,antecubital fossa 
1302,SRS482596,SRR994920,2.0,male ,antecubital fossa 
1303,SRS482596,SRR994934,2.0,male ,antecubital fossa 
1304,SRS482597,SRR994921,2.0,male ,antecubital fossa 
1305,SRS482597,SRR994935,2.0,male ,antecubital fossa 
1328,SRS482609,SRR994947,2.0,male ,antecubital fossa 
1329,SRS482609,SRR994996,2.0,male ,antecubital fossa 
1334,SRS482612,SRR994950,2.0,male ,antecubital fossa 
1335,SRS482612,SRR994999,2.0,male ,antecubital fossa 
1336,SRS482613,SRR994951,2.0,male ,antecubital fossa 
1337,SRS482613,SRR995000,2.0,male ,antecubital fossa 
1352,SRS482621,SRR994959,2.0,male ,antecubital fossa 
1353,SRS482621,SRR995008,2.0,male ,antecubital fossa 
1400,SRS482645,SRR994983,2.0,male ,antecubital fossa 
1401,SRS482645,SRR995032,2.0,male ,antecubital fossa 
1402,SRS482646,SRR994984,2.0,male ,antecubital fossa 
1403,SRS482646,SRR995033,2.0,male ,antecubital fossa 
1404,SRS482647,SRR994985,2.0,male ,antecubital fossa 
1405,SRS482647,SRR995034,2.0,male ,antecubital fossa 
1458,SRS482674,SRR995062,2.0,male ,antecubital fossa 
1459,SRS482674,SRR995089,2.0,male ,antecubital fossa 
1466,SRS482678,SRR995092,2.0,male ,antecubital fossa 
1467,SRS482678,SRR995136,2.0,male ,antecubital fossa 
1468,SRS482679,SRR995093,2.0,male ,antecubital fossa 
1469,SRS482679,SRR995137,2.0,male ,antecubital fossa 
1474,SRS482682,SRR995097,2.0,male ,antecubital fossa 
1475,SRS482682,SRR995141,2.0,male ,antecubital fossa 
1480,SRS482685,SRR995098,2.0,male ,antecubital fossa 
1481,SRS482685,SRR995142,2.0,male ,antecubital fossa 
1514,SRS482702,SRR995116,2.0,male ,antecubital fossa 
1515,SRS482702,SRR995160,2.0,male ,antecubital fossa 
1516,SRS482703,SRR995117,2.0,male ,antecubital fossa 
1517,SRS482703,SRR995161,2.0,male ,antecubital fossa 
1554,SRS482767,SRR995270,2.0,male ,antecubital fossa 
1555,SRS482767,SRR995278,2.0,male ,antecubital fossa 
1560,SRS482770,SRR995273,2.0,male ,antecubital fossa 
1561,SRS482770,SRR995281,2.0,male ,antecubital fossa 
1568,SRS482774,SRR995277,2.0,male ,antecubital fossa 
1569,SRS482774,SRR995285,2.0,male ,antecubital fossa 
1570,SRS482775,SRR995286,2.0,male ,antecubital fossa 
1571,SRS482775,SRR995354,2.0,male ,antecubital fossa 
1572,SRS482776,SRR995288,2.0,male ,antecubital fossa 
1573,SRS482776,SRR995356,2.0,male ,antecubital fossa 
1574,SRS482777,SRR995287,2.0,male ,antecubital fossa 
1575,SRS482777,SRR995355,2.0,male ,antecubital fossa 
1576,SRS482778,SRR995289,2.0,male ,antecubital fossa 
1577,SRS482778,SRR995357,2.0,male ,antecubital fossa 
1578,SRS482779,SRR995290,2.0,male ,antecubital fossa 
1579,SRS482779,SRR995358,2.0,male ,antecubital fossa 
1580,SRS482780,SRR995291,2.0,male ,antecubital fossa 
1581,SRS482780,SRR995359,2.0,male ,antecubital fossa 
1582,SRS482781,SRR995292,2.0,male ,antecubital fossa 
1583,SRS482781,SRR995360,2.0,male ,antecubital fossa 
1584,SRS482782,SRR995293,2.0,male ,antecubital fossa 
1585,SRS482782,SRR995361,2.0,male ,antecubital fossa 
1642,SRS482811,SRR995322,2.0,male ,antecubital fossa 
1643,SRS482811,SRR995390,2.0,male ,antecubital fossa 
1644,SRS482812,SRR995323,2.0,male ,antecubital fossa 
1645,SRS482812,SRR995391,2.0,male ,antecubital fossa 
1646,SRS482813,SRR995324,2.0,male ,antecubital fossa 
1647,SRS482813,SRR995392,2.0,male ,antecubital fossa 
1648,SRS482814,SRR995325,2.0,male ,antecubital fossa 
1649,SRS482814,SRR995393,2.0,male ,antecubital fossa 
1650,SRS482815,SRR995326,2.0,male ,antecubital fossa 
1651,SRS482815,SRR995394,2.0,male ,antecubital fossa 
1652,SRS482816,SRR995327,2.0,male ,antecubital fossa 
1653,SRS482816,SRR995395,2.0,male ,antecubital fossa 
1654,SRS482817,SRR995328,2.0,male ,antecubital fossa 
1655,SRS482817,SRR995396,2.0,male ,antecubital fossa 
1656,SRS482818,SRR995329,2.0,male ,antecubital fossa 
1657,SRS482818,SRR995397,2.0,male ,antecubital fossa 
1722,SRS482867,SRR995462,2.0,male ,antecubital fossa 
1723,SRS482867,SRR995476,2.0,male ,antecubital fossa 
1724,SRS482868,SRR995463,2.0,male ,antecubital fossa 
1725,SRS482868,SRR995477,2.0,male ,antecubital fossa 
1740,SRS482876,SRR995488,2.0,male ,antecubital fossa 
1741,SRS482876,SRR995498,2.0,male ,antecubital fossa 
1742,SRS482877,SRR995489,2.0,male ,antecubital fossa 
1743,SRS482877,SRR995499,2.0,male ,antecubital fossa 
