,Sample_ID,Run_ID,Release_version,Sex,Body_site
24,SRS451429,SRR919539,2.0,male ,inguinal crease 
25,SRS451429,SRR919599,2.0,male ,inguinal crease 
52,SRS451443,SRR919553,2.0,male ,inguinal crease 
53,SRS451443,SRR919613,2.0,male ,inguinal crease 
54,SRS451444,SRR919554,2.0,male ,inguinal crease 
55,SRS451444,SRR919614,2.0,male ,inguinal crease 
176,SRS451606,SRR919877,2.0,male ,inguinal crease 
177,SRS451606,SRR919927,2.0,male ,inguinal crease 
180,SRS451608,SRR919878,2.0,male ,inguinal crease 
181,SRS451608,SRR919928,2.0,male ,inguinal crease 
238,SRS451718,SRR920120,2.0,male ,inguinal crease 
239,SRS451718,SRR920167,2.0,male ,inguinal crease 
240,SRS451719,SRR920121,2.0,male ,inguinal crease 
241,SRS451719,SRR920168,2.0,male ,inguinal crease 
396,SRS451874,SRR920585,2.0,male ,inguinal crease 
397,SRS451874,SRR920672,2.0,male ,inguinal crease 
398,SRS451875,SRR920586,2.0,male ,inguinal crease 
399,SRS451875,SRR920673,2.0,male ,inguinal crease 
492,SRS451922,SRR920634,2.0,male ,inguinal crease 
493,SRS451922,SRR920721,2.0,male ,inguinal crease 
494,SRS451923,SRR920633,2.0,male ,inguinal crease 
495,SRS451923,SRR920720,2.0,male ,inguinal crease 
540,SRS451946,SRR920657,2.0,male ,inguinal crease 
541,SRS451946,SRR920744,2.0,male ,inguinal crease 
542,SRS451947,SRR920658,2.0,male ,inguinal crease 
543,SRS451947,SRR920745,2.0,male ,inguinal crease 
594,SRS452048,SRR920921,2.0,male ,inguinal crease 
595,SRS452048,SRR920984,2.0,male ,inguinal crease 
596,SRS452049,SRR920922,2.0,male ,inguinal crease 
597,SRS452049,SRR920985,2.0,male ,inguinal crease 
642,SRS452072,SRR920945,2.0,male ,inguinal crease 
643,SRS452072,SRR921008,2.0,male ,inguinal crease 
646,SRS452074,SRR920946,2.0,male ,inguinal crease 
647,SRS452074,SRR921009,2.0,male ,inguinal crease 
676,SRS452089,SRR921026,2.0,male ,inguinal crease 
677,SRS452089,SRR921089,2.0,male ,inguinal crease 
698,SRS452100,SRR921036,2.0,male ,inguinal crease 
699,SRS452100,SRR921099,2.0,male ,inguinal crease 
714,SRS452108,SRR921044,2.0,male ,inguinal crease 
715,SRS452108,SRR921107,2.0,male ,inguinal crease 
770,SRS452136,SRR921072,2.0,male ,inguinal crease 
771,SRS452136,SRR921135,2.0,male ,inguinal crease 
774,SRS452138,SRR921073,2.0,male ,inguinal crease 
775,SRS452138,SRR921136,2.0,male ,inguinal crease 
