,Sample_ID,Run_ID,Release_version,Sex,Body_site
874,SRS482370,SRR994440,2.0,male ,popliteal fossa 
875,SRS482370,SRR994510,2.0,male ,popliteal fossa 
876,SRS482371,SRR994441,2.0,male ,popliteal fossa 
877,SRS482371,SRR994511,2.0,male ,popliteal fossa 
888,SRS482377,SRR994447,2.0,male ,popliteal fossa 
889,SRS482377,SRR994517,2.0,male ,popliteal fossa 
890,SRS482378,SRR994448,2.0,male ,popliteal fossa 
891,SRS482378,SRR994518,2.0,male ,popliteal fossa 
898,SRS482382,SRR994452,2.0,male ,popliteal fossa 
899,SRS482382,SRR994522,2.0,male ,popliteal fossa 
900,SRS482383,SRR994453,2.0,male ,popliteal fossa 
901,SRS482383,SRR994523,2.0,male ,popliteal fossa 
934,SRS482400,SRR994470,2.0,male ,popliteal fossa 
935,SRS482400,SRR994540,2.0,male ,popliteal fossa 
936,SRS482401,SRR994471,2.0,male ,popliteal fossa 
937,SRS482401,SRR994541,2.0,male ,popliteal fossa 
950,SRS482408,SRR994548,2.0,male ,popliteal fossa 
951,SRS482408,SRR994631,2.0,male ,popliteal fossa 
952,SRS482409,SRR994549,2.0,male ,popliteal fossa 
953,SRS482409,SRR994632,2.0,male ,popliteal fossa 
964,SRS482415,SRR994556,2.0,male ,popliteal fossa 
965,SRS482415,SRR994639,2.0,male ,popliteal fossa 
966,SRS482416,SRR994555,2.0,male ,popliteal fossa 
967,SRS482416,SRR994638,2.0,male ,popliteal fossa 
976,SRS482421,SRR994562,2.0,male ,popliteal fossa 
977,SRS482421,SRR994645,2.0,male ,popliteal fossa 
980,SRS482423,SRR994563,2.0,male ,popliteal fossa 
981,SRS482423,SRR994646,2.0,male ,popliteal fossa 
1034,SRS482450,SRR994590,2.0,male ,popliteal fossa 
1035,SRS482450,SRR994673,2.0,male ,popliteal fossa 
1036,SRS482451,SRR994591,2.0,male ,popliteal fossa 
1037,SRS482451,SRR994674,2.0,male ,popliteal fossa 
1048,SRS482457,SRR994597,2.0,male ,popliteal fossa 
1049,SRS482457,SRR994680,2.0,male ,popliteal fossa 
1050,SRS482458,SRR994598,2.0,male ,popliteal fossa 
1051,SRS482458,SRR994681,2.0,male ,popliteal fossa 
1062,SRS482464,SRR994604,2.0,male ,popliteal fossa 
1063,SRS482464,SRR994687,2.0,male ,popliteal fossa 
1066,SRS482466,SRR994605,2.0,male ,popliteal fossa 
1067,SRS482466,SRR994688,2.0,male ,popliteal fossa 
1340,SRS482615,SRR994952,2.0,male ,popliteal fossa 
1341,SRS482615,SRR995001,2.0,male ,popliteal fossa 
1378,SRS482634,SRR994972,2.0,male ,popliteal fossa 
1379,SRS482634,SRR995021,2.0,male ,popliteal fossa 
1410,SRS482650,SRR994988,2.0,male ,popliteal fossa 
1411,SRS482650,SRR995037,2.0,male ,popliteal fossa 
1602,SRS482791,SRR995302,2.0,male ,popliteal fossa 
1603,SRS482791,SRR995370,2.0,male ,popliteal fossa 
1604,SRS482792,SRR995303,2.0,male ,popliteal fossa 
1605,SRS482792,SRR995371,2.0,male ,popliteal fossa 
1606,SRS482793,SRR995304,2.0,male ,popliteal fossa 
1607,SRS482793,SRR995372,2.0,male ,popliteal fossa 
1608,SRS482794,SRR995305,2.0,male ,popliteal fossa 
1609,SRS482794,SRR995373,2.0,male ,popliteal fossa 
1674,SRS482827,SRR995338,2.0,male ,popliteal fossa 
1675,SRS482827,SRR995406,2.0,male ,popliteal fossa 
1676,SRS482828,SRR995339,2.0,male ,popliteal fossa 
1677,SRS482828,SRR995407,2.0,male ,popliteal fossa 
1678,SRS482829,SRR995341,2.0,male ,popliteal fossa 
1679,SRS482829,SRR995409,2.0,male ,popliteal fossa 
1680,SRS482830,SRR995340,2.0,male ,popliteal fossa 
1681,SRS482830,SRR995408,2.0,male ,popliteal fossa 
1752,SRS482882,SRR995494,2.0,male ,popliteal fossa 
1753,SRS482882,SRR995504,2.0,male ,popliteal fossa 
1754,SRS482883,SRR995495,2.0,male ,popliteal fossa 
1755,SRS482883,SRR995505,2.0,male ,popliteal fossa 
1792,SRS482902,SRR995524,2.0,male ,popliteal fossa 
1793,SRS482902,SRR995556,2.0,male ,popliteal fossa 
1794,SRS482903,SRR995525,2.0,male ,popliteal fossa 
1795,SRS482903,SRR995557,2.0,male ,popliteal fossa 
1796,SRS482904,SRR995526,2.0,male ,popliteal fossa 
1797,SRS482904,SRR995558,2.0,male ,popliteal fossa 
1798,SRS482905,SRR995527,2.0,male ,popliteal fossa 
1799,SRS482905,SRR995559,2.0,male ,popliteal fossa 
1864,SRS482941,SRR995605,2.0,male ,popliteal fossa 
1865,SRS482941,SRR995655,2.0,male ,popliteal fossa 
2242,SRS483200,SRR996094,2.0,male ,popliteal fossa 
2243,SRS483200,SRR996162,2.0,male ,popliteal fossa 
2254,SRS483206,SRR996099,2.0,male ,popliteal fossa 
2255,SRS483206,SRR996167,2.0,male ,popliteal fossa 
2274,SRS483216,SRR996109,2.0,male ,popliteal fossa 
2275,SRS483216,SRR996177,2.0,male ,popliteal fossa 
2368,SRS483263,SRR996224,2.0,male ,popliteal fossa 
2369,SRS483263,SRR996276,2.0,male ,popliteal fossa 
2422,SRS483290,SRR996312,2.0,male ,popliteal fossa 
2423,SRS483290,SRR996384,2.0,male ,popliteal fossa 
2428,SRS483293,SRR996315,2.0,male ,popliteal fossa 
2429,SRS483293,SRR996387,2.0,male ,popliteal fossa 
2954,SRS483550,SRR996879,2.0,male ,popliteal fossa 
2955,SRS483550,SRR996939,2.0,male ,popliteal fossa 
2962,SRS483554,SRR996883,2.0,male ,popliteal fossa 
2963,SRS483554,SRR996943,2.0,male ,popliteal fossa 
2970,SRS483558,SRR996887,2.0,male ,popliteal fossa 
2971,SRS483558,SRR996947,2.0,male ,popliteal fossa 
3010,SRS483578,SRR996967,2.0,male ,popliteal fossa 
3011,SRS483578,SRR997052,2.0,male ,popliteal fossa 
3020,SRS483583,SRR996971,2.0,male ,popliteal fossa 
3021,SRS483583,SRR997056,2.0,male ,popliteal fossa 
