,Sample_ID,Run_ID,Release_version,Sex,Body_site
802,SRS482334,SRR994404,2.0,female ,antecubital fossa 
803,SRS482334,SRR994474,2.0,female ,antecubital fossa 
804,SRS482335,SRR994405,2.0,female ,antecubital fossa 
805,SRS482335,SRR994475,2.0,female ,antecubital fossa 
814,SRS482340,SRR994410,2.0,female ,antecubital fossa 
815,SRS482340,SRR994480,2.0,female ,antecubital fossa 
816,SRS482341,SRR994411,2.0,female ,antecubital fossa 
817,SRS482341,SRR994481,2.0,female ,antecubital fossa 
828,SRS482347,SRR994417,2.0,female ,antecubital fossa 
829,SRS482347,SRR994487,2.0,female ,antecubital fossa 
830,SRS482348,SRR994418,2.0,female ,antecubital fossa 
831,SRS482348,SRR994488,2.0,female ,antecubital fossa 
842,SRS482354,SRR994424,2.0,female ,antecubital fossa 
843,SRS482354,SRR994494,2.0,female ,antecubital fossa 
854,SRS482360,SRR994431,2.0,female ,antecubital fossa 
855,SRS482360,SRR994501,2.0,female ,antecubital fossa 
856,SRS482361,SRR994430,2.0,female ,antecubital fossa 
857,SRS482361,SRR994500,2.0,female ,antecubital fossa 
906,SRS482386,SRR994456,2.0,female ,antecubital fossa 
907,SRS482386,SRR994526,2.0,female ,antecubital fossa 
908,SRS482387,SRR994457,2.0,female ,antecubital fossa 
909,SRS482387,SRR994527,2.0,female ,antecubital fossa 
920,SRS482393,SRR994463,2.0,female ,antecubital fossa 
921,SRS482393,SRR994533,2.0,female ,antecubital fossa 
922,SRS482394,SRR994464,2.0,female ,antecubital fossa 
923,SRS482394,SRR994534,2.0,female ,antecubital fossa 
984,SRS482425,SRR994565,2.0,female ,antecubital fossa 
985,SRS482425,SRR994648,2.0,female ,antecubital fossa 
988,SRS482427,SRR994566,2.0,female ,antecubital fossa 
989,SRS482427,SRR994649,2.0,female ,antecubital fossa 
998,SRS482432,SRR994572,2.0,female ,antecubital fossa 
999,SRS482432,SRR994655,2.0,female ,antecubital fossa 
1000,SRS482433,SRR994573,2.0,female ,antecubital fossa 
1001,SRS482433,SRR994656,2.0,female ,antecubital fossa 
1012,SRS482439,SRR994579,2.0,female ,antecubital fossa 
1013,SRS482439,SRR994662,2.0,female ,antecubital fossa 
1014,SRS482440,SRR994580,2.0,female ,antecubital fossa 
1015,SRS482440,SRR994663,2.0,female ,antecubital fossa 
1128,SRS482497,SRR994720,2.0,female ,antecubital fossa 
1129,SRS482497,SRR994809,2.0,female ,antecubital fossa 
1130,SRS482498,SRR994721,2.0,female ,antecubital fossa 
1131,SRS482498,SRR994810,2.0,female ,antecubital fossa 
1178,SRS482522,SRR994746,2.0,female ,antecubital fossa 
1179,SRS482522,SRR994835,2.0,female ,antecubital fossa 
1180,SRS482523,SRR994745,2.0,female ,antecubital fossa 
1181,SRS482523,SRR994834,2.0,female ,antecubital fossa 
1186,SRS482526,SRR994750,2.0,female ,antecubital fossa 
1187,SRS482526,SRR994839,2.0,female ,antecubital fossa 
1192,SRS482529,SRR994751,2.0,female ,antecubital fossa 
1193,SRS482529,SRR994840,2.0,female ,antecubital fossa 
1246,SRS482556,SRR994779,2.0,female ,antecubital fossa 
1247,SRS482556,SRR994868,2.0,female ,antecubital fossa 
1248,SRS482557,SRR994780,2.0,female ,antecubital fossa 
1249,SRS482557,SRR994869,2.0,female ,antecubital fossa 
1254,SRS482560,SRR994784,2.0,female ,antecubital fossa 
1255,SRS482560,SRR994873,2.0,female ,antecubital fossa 
1258,SRS482562,SRR994785,2.0,female ,antecubital fossa 
1259,SRS482562,SRR994874,2.0,female ,antecubital fossa 
1266,SRS482566,SRR994789,2.0,female ,antecubital fossa 
1267,SRS482566,SRR994878,2.0,female ,antecubital fossa 
1268,SRS482567,SRR994790,2.0,female ,antecubital fossa 
1269,SRS482567,SRR994879,2.0,female ,antecubital fossa 
1276,SRS482571,SRR994794,2.0,female ,antecubital fossa 
1277,SRS482571,SRR994883,2.0,female ,antecubital fossa 
1278,SRS482572,SRR994795,2.0,female ,antecubital fossa 
1279,SRS482572,SRR994884,2.0,female ,antecubital fossa 
1286,SRS482588,SRR994912,2.0,female ,antecubital fossa 
1287,SRS482588,SRR994926,2.0,female ,antecubital fossa 
1298,SRS482594,SRR994918,2.0,female ,antecubital fossa 
1299,SRS482594,SRR994932,2.0,female ,antecubital fossa 
1318,SRS482604,SRR994942,2.0,female ,antecubital fossa 
1319,SRS482604,SRR994991,2.0,female ,antecubital fossa 
1346,SRS482618,SRR994956,2.0,female ,antecubital fossa 
1347,SRS482618,SRR995005,2.0,female ,antecubital fossa 
1358,SRS482624,SRR994962,2.0,female ,antecubital fossa 
1359,SRS482624,SRR995011,2.0,female ,antecubital fossa 
1360,SRS482625,SRR994963,2.0,female ,antecubital fossa 
1361,SRS482625,SRR995012,2.0,female ,antecubital fossa 
1362,SRS482626,SRR994964,2.0,female ,antecubital fossa 
1363,SRS482626,SRR995013,2.0,female ,antecubital fossa 
1384,SRS482637,SRR994975,2.0,female ,antecubital fossa 
1385,SRS482637,SRR995024,2.0,female ,antecubital fossa 
1386,SRS482638,SRR994976,2.0,female ,antecubital fossa 
1387,SRS482638,SRR995025,2.0,female ,antecubital fossa 
1388,SRS482639,SRR994977,2.0,female ,antecubital fossa 
1389,SRS482639,SRR995026,2.0,female ,antecubital fossa 
1438,SRS482664,SRR995051,2.0,female ,antecubital fossa 
1439,SRS482664,SRR995078,2.0,female ,antecubital fossa 
1486,SRS482688,SRR995102,2.0,female ,antecubital fossa 
1487,SRS482688,SRR995146,2.0,female ,antecubital fossa 
1494,SRS482692,SRR995107,2.0,female ,antecubital fossa 
1495,SRS482692,SRR995151,2.0,female ,antecubital fossa 
1496,SRS482693,SRR995106,2.0,female ,antecubital fossa 
1497,SRS482693,SRR995150,2.0,female ,antecubital fossa 
1504,SRS482697,SRR995111,2.0,female ,antecubital fossa 
1505,SRS482697,SRR995155,2.0,female ,antecubital fossa 
1506,SRS482698,SRR995112,2.0,female ,antecubital fossa 
1507,SRS482698,SRR995156,2.0,female ,antecubital fossa 
1524,SRS482707,SRR995121,2.0,female ,antecubital fossa 
1525,SRS482707,SRR995165,2.0,female ,antecubital fossa 
1526,SRS482708,SRR995122,2.0,female ,antecubital fossa 
1527,SRS482708,SRR995166,2.0,female ,antecubital fossa 
