,Sample_ID,Run_ID,Release_version,Sex,Body_site
88,SRS451461,SRR919571,2.0,female ,glabella 
89,SRS451461,SRR919631,2.0,female ,glabella 
138,SRS451587,SRR919859,2.0,female ,glabella 
139,SRS451587,SRR919909,2.0,female ,glabella 
280,SRS451739,SRR920141,2.0,female ,glabella 
281,SRS451739,SRR920188,2.0,female ,glabella 
338,SRS451768,SRR920217,2.0,female ,glabella 
339,SRS451768,SRR920248,2.0,female ,glabella 
438,SRS451895,SRR920606,2.0,female ,glabella 
439,SRS451895,SRR920693,2.0,female ,glabella 
