,Sample_ID,Run_ID,Release_version,Sex,Body_site
90,SRS451462,SRR919572,2.0,female ,hypothenar palm 
91,SRS451462,SRR919632,2.0,female ,hypothenar palm 
92,SRS451463,SRR919573,2.0,female ,hypothenar palm 
93,SRS451463,SRR919633,2.0,female ,hypothenar palm 
160,SRS451598,SRR919869,2.0,female ,hypothenar palm 
161,SRS451598,SRR919919,2.0,female ,hypothenar palm 
162,SRS451599,SRR919870,2.0,female ,hypothenar palm 
163,SRS451599,SRR919920,2.0,female ,hypothenar palm 
282,SRS451740,SRR920142,2.0,female ,hypothenar palm 
283,SRS451740,SRR920189,2.0,female ,hypothenar palm 
284,SRS451741,SRR920143,2.0,female ,hypothenar palm 
285,SRS451741,SRR920190,2.0,female ,hypothenar palm 
316,SRS451757,SRR920206,2.0,female ,hypothenar palm 
317,SRS451757,SRR920237,2.0,female ,hypothenar palm 
340,SRS451769,SRR920218,2.0,female ,hypothenar palm 
341,SRS451769,SRR920249,2.0,female ,hypothenar palm 
342,SRS451770,SRR920219,2.0,female ,hypothenar palm 
343,SRS451770,SRR920250,2.0,female ,hypothenar palm 
440,SRS451896,SRR920608,2.0,female ,hypothenar palm 
441,SRS451896,SRR920695,2.0,female ,hypothenar palm 
442,SRS451897,SRR920607,2.0,female ,hypothenar palm 
443,SRS451897,SRR920694,2.0,female ,hypothenar palm 
