,Sample_ID,Run_ID,Release_version,Sex,Body_site
104,SRS451469,SRR919579,2.0,female ,plantar heel 
105,SRS451469,SRR919639,2.0,female ,plantar heel 
106,SRS451470,SRR919580,2.0,female ,plantar heel 
107,SRS451470,SRR919640,2.0,female ,plantar heel 
136,SRS451586,SRR919857,2.0,female ,plantar heel 
137,SRS451586,SRR919907,2.0,female ,plantar heel 
140,SRS451588,SRR919858,2.0,female ,plantar heel 
141,SRS451588,SRR919908,2.0,female ,plantar heel 
298,SRS451748,SRR920150,2.0,female ,plantar heel 
299,SRS451748,SRR920197,2.0,female ,plantar heel 
320,SRS451759,SRR920208,2.0,female ,plantar heel 
321,SRS451759,SRR920239,2.0,female ,plantar heel 
322,SRS451760,SRR920209,2.0,female ,plantar heel 
323,SRS451760,SRR920240,2.0,female ,plantar heel 
354,SRS451776,SRR920226,2.0,female ,plantar heel 
355,SRS451776,SRR920257,2.0,female ,plantar heel 
358,SRS451778,SRR920227,2.0,female ,plantar heel 
359,SRS451778,SRR920258,2.0,female ,plantar heel 
458,SRS451905,SRR920616,2.0,female ,plantar heel 
459,SRS451905,SRR920703,2.0,female ,plantar heel 
462,SRS451907,SRR920617,2.0,female ,plantar heel 
463,SRS451907,SRR920704,2.0,female ,plantar heel 
550,SRS452026,SRR920900,2.0,female ,plantar heel 
551,SRS452026,SRR920963,2.0,female ,plantar heel 
560,SRS452031,SRR920904,2.0,female ,plantar heel 
561,SRS452031,SRR920967,2.0,female ,plantar heel 
562,SRS452032,SRR920905,2.0,female ,plantar heel 
563,SRS452032,SRR920968,2.0,female ,plantar heel 
