,Sample_ID,Run_ID,Release_version,Sex,Body_site
808,SRS482337,SRR994407,2.0,female ,popliteal fossa 
809,SRS482337,SRR994477,2.0,female ,popliteal fossa 
810,SRS482338,SRR994408,2.0,female ,popliteal fossa 
811,SRS482338,SRR994478,2.0,female ,popliteal fossa 
822,SRS482344,SRR994414,2.0,female ,popliteal fossa 
823,SRS482344,SRR994484,2.0,female ,popliteal fossa 
824,SRS482345,SRR994415,2.0,female ,popliteal fossa 
825,SRS482345,SRR994485,2.0,female ,popliteal fossa 
836,SRS482351,SRR994421,2.0,female ,popliteal fossa 
837,SRS482351,SRR994491,2.0,female ,popliteal fossa 
838,SRS482352,SRR994422,2.0,female ,popliteal fossa 
839,SRS482352,SRR994492,2.0,female ,popliteal fossa 
848,SRS482357,SRR994427,2.0,female ,popliteal fossa 
849,SRS482357,SRR994497,2.0,female ,popliteal fossa 
850,SRS482358,SRR994428,2.0,female ,popliteal fossa 
851,SRS482358,SRR994498,2.0,female ,popliteal fossa 
862,SRS482364,SRR994434,2.0,female ,popliteal fossa 
863,SRS482364,SRR994504,2.0,female ,popliteal fossa 
864,SRS482365,SRR994435,2.0,female ,popliteal fossa 
865,SRS482365,SRR994505,2.0,female ,popliteal fossa 
914,SRS482390,SRR994460,2.0,female ,popliteal fossa 
915,SRS482390,SRR994530,2.0,female ,popliteal fossa 
916,SRS482391,SRR994461,2.0,female ,popliteal fossa 
917,SRS482391,SRR994531,2.0,female ,popliteal fossa 
928,SRS482397,SRR994467,2.0,female ,popliteal fossa 
929,SRS482397,SRR994537,2.0,female ,popliteal fossa 
930,SRS482398,SRR994468,2.0,female ,popliteal fossa 
931,SRS482398,SRR994538,2.0,female ,popliteal fossa 
992,SRS482429,SRR994570,2.0,female ,popliteal fossa 
993,SRS482429,SRR994653,2.0,female ,popliteal fossa 
994,SRS482430,SRR994569,2.0,female ,popliteal fossa 
995,SRS482430,SRR994652,2.0,female ,popliteal fossa 
1006,SRS482436,SRR994576,2.0,female ,popliteal fossa 
1007,SRS482436,SRR994659,2.0,female ,popliteal fossa 
1008,SRS482437,SRR994577,2.0,female ,popliteal fossa 
1009,SRS482437,SRR994660,2.0,female ,popliteal fossa 
1020,SRS482443,SRR994584,2.0,female ,popliteal fossa 
1021,SRS482443,SRR994667,2.0,female ,popliteal fossa 
1022,SRS482444,SRR994583,2.0,female ,popliteal fossa 
1023,SRS482444,SRR994666,2.0,female ,popliteal fossa 
1324,SRS482607,SRR994944,2.0,female ,popliteal fossa 
1325,SRS482607,SRR994993,2.0,female ,popliteal fossa 
1368,SRS482629,SRR994967,2.0,female ,popliteal fossa 
1369,SRS482629,SRR995016,2.0,female ,popliteal fossa 
1394,SRS482642,SRR994980,2.0,female ,popliteal fossa 
1395,SRS482642,SRR995029,2.0,female ,popliteal fossa 
1426,SRS482658,SRR995045,2.0,female ,popliteal fossa 
1427,SRS482658,SRR995072,2.0,female ,popliteal fossa 
1462,SRS482676,SRR995063,2.0,female ,popliteal fossa 
1463,SRS482676,SRR995090,2.0,female ,popliteal fossa 
1548,SRS482719,SRR995133,2.0,female ,popliteal fossa 
1549,SRS482719,SRR995177,2.0,female ,popliteal fossa 
2230,SRS483194,SRR996087,2.0,female ,popliteal fossa 
2231,SRS483194,SRR996155,2.0,female ,popliteal fossa 
2264,SRS483211,SRR996104,2.0,female ,popliteal fossa 
2265,SRS483211,SRR996172,2.0,female ,popliteal fossa 
2416,SRS483287,SRR996309,2.0,female ,popliteal fossa 
2417,SRS483287,SRR996381,2.0,female ,popliteal fossa 
2930,SRS483538,SRR996867,2.0,female ,popliteal fossa 
2931,SRS483538,SRR996927,2.0,female ,popliteal fossa 
2940,SRS483543,SRR996871,2.0,female ,popliteal fossa 
2941,SRS483543,SRR996931,2.0,female ,popliteal fossa 
2946,SRS483546,SRR996875,2.0,female ,popliteal fossa 
2947,SRS483546,SRR996935,2.0,female ,popliteal fossa 
2980,SRS483563,SRR996891,2.0,female ,popliteal fossa 
2981,SRS483563,SRR996951,2.0,female ,popliteal fossa 
2986,SRS483566,SRR996955,2.0,female ,popliteal fossa 
2987,SRS483566,SRR997040,2.0,female ,popliteal fossa 
2994,SRS483570,SRR996959,2.0,female ,popliteal fossa 
2995,SRS483570,SRR997044,2.0,female ,popliteal fossa 
3002,SRS483574,SRR996963,2.0,female ,popliteal fossa 
3003,SRS483574,SRR997048,2.0,female ,popliteal fossa 
3034,SRS483590,SRR996979,2.0,female ,popliteal fossa 
3035,SRS483590,SRR997064,2.0,female ,popliteal fossa 
3042,SRS483594,SRR996983,2.0,female ,popliteal fossa 
3043,SRS483594,SRR997068,2.0,female ,popliteal fossa 
3050,SRS483598,SRR996987,2.0,female ,popliteal fossa 
3051,SRS483598,SRR997072,2.0,female ,popliteal fossa 
3082,SRS483614,SRR997003,2.0,female ,popliteal fossa 
3083,SRS483614,SRR997088,2.0,female ,popliteal fossa 
3090,SRS483618,SRR997007,2.0,female ,popliteal fossa 
3091,SRS483618,SRR997092,2.0,female ,popliteal fossa 
3096,SRS483621,SRR997011,2.0,female ,popliteal fossa 
3097,SRS483621,SRR997096,2.0,female ,popliteal fossa 
