,Sample_ID,Run_ID,Release_version,Sex,Body_site
164,SRS451600,SRR919871,2.0,female ,toenail 
165,SRS451600,SRR919921,2.0,female ,toenail 
166,SRS451601,SRR919872,2.0,female ,toenail 
167,SRS451601,SRR919922,2.0,female ,toenail 
268,SRS451733,SRR920135,2.0,female ,toenail 
269,SRS451733,SRR920182,2.0,female ,toenail 
310,SRS451754,SRR920156,2.0,female ,toenail 
311,SRS451754,SRR920203,2.0,female ,toenail 
312,SRS451755,SRR920157,2.0,female ,toenail 
313,SRS451755,SRR920204,2.0,female ,toenail 
326,SRS451762,SRR920211,2.0,female ,toenail 
327,SRS451762,SRR920242,2.0,female ,toenail 
370,SRS451784,SRR920234,2.0,female ,toenail 
371,SRS451784,SRR920265,2.0,female ,toenail 
374,SRS451786,SRR920235,2.0,female ,toenail 
375,SRS451786,SRR920266,2.0,female ,toenail 
474,SRS451913,SRR920624,2.0,female ,toenail 
475,SRS451913,SRR920711,2.0,female ,toenail 
478,SRS451915,SRR920625,2.0,female ,toenail 
479,SRS451915,SRR920712,2.0,female ,toenail 
576,SRS452039,SRR920912,2.0,female ,toenail 
577,SRS452039,SRR920975,2.0,female ,toenail 
578,SRS452040,SRR920913,2.0,female ,toenail 
579,SRS452040,SRR920976,2.0,female ,toenail 
750,SRS452126,SRR921062,2.0,female ,toenail 
751,SRS452126,SRR921125,2.0,female ,toenail 
752,SRS452127,SRR921063,2.0,female ,toenail 
753,SRS452127,SRR921126,2.0,female ,toenail 
