,Sample_ID,Run_ID,Release_version,Sex,Body_site
112,SRS451473,SRR919583,2.0,female ,toeweb 
113,SRS451473,SRR919643,2.0,female ,toeweb 
114,SRS451474,SRR919584,2.0,female ,toeweb 
115,SRS451474,SRR919644,2.0,female ,toeweb 
152,SRS451594,SRR919865,2.0,female ,toeweb 
153,SRS451594,SRR919915,2.0,female ,toeweb 
154,SRS451595,SRR919866,2.0,female ,toeweb 
155,SRS451595,SRR919916,2.0,female ,toeweb 
304,SRS451751,SRR920153,2.0,female ,toeweb 
305,SRS451751,SRR920200,2.0,female ,toeweb 
324,SRS451761,SRR920210,2.0,female ,toeweb 
325,SRS451761,SRR920241,2.0,female ,toeweb 
364,SRS451781,SRR920230,2.0,female ,toeweb 
365,SRS451781,SRR920261,2.0,female ,toeweb 
366,SRS451782,SRR920231,2.0,female ,toeweb 
367,SRS451782,SRR920262,2.0,female ,toeweb 
466,SRS451909,SRR920621,2.0,female ,toeweb 
467,SRS451909,SRR920708,2.0,female ,toeweb 
468,SRS451910,SRR920620,2.0,female ,toeweb 
469,SRS451910,SRR920707,2.0,female ,toeweb 
568,SRS452035,SRR920908,2.0,female ,toeweb 
569,SRS452035,SRR920971,2.0,female ,toeweb 
570,SRS452036,SRR920909,2.0,female ,toeweb 
571,SRS452036,SRR920972,2.0,female ,toeweb 
744,SRS452123,SRR921059,2.0,female ,toeweb 
745,SRS452123,SRR921122,2.0,female ,toeweb 
