,Sample_ID,Run_ID,Release_version,Sex,Body_site
116,SRS451475,SRR919585,2.0,female ,volar forearm 
117,SRS451475,SRR919645,2.0,female ,volar forearm 
118,SRS451476,SRR919586,2.0,female ,volar forearm 
119,SRS451476,SRR919646,2.0,female ,volar forearm 
124,SRS451580,SRR919851,2.0,female ,volar forearm 
125,SRS451580,SRR919901,2.0,female ,volar forearm 
126,SRS451581,SRR919852,2.0,female ,volar forearm 
127,SRS451581,SRR919902,2.0,female ,volar forearm 
306,SRS451752,SRR920154,2.0,female ,volar forearm 
307,SRS451752,SRR920201,2.0,female ,volar forearm 
308,SRS451753,SRR920155,2.0,female ,volar forearm 
309,SRS451753,SRR920202,2.0,female ,volar forearm 
368,SRS451783,SRR920232,2.0,female ,volar forearm 
369,SRS451783,SRR920263,2.0,female ,volar forearm 
372,SRS451785,SRR920233,2.0,female ,volar forearm 
373,SRS451785,SRR920264,2.0,female ,volar forearm 
380,SRS451866,SRR920577,2.0,female ,volar forearm 
381,SRS451866,SRR920664,2.0,female ,volar forearm 
470,SRS451911,SRR920622,2.0,female ,volar forearm 
471,SRS451911,SRR920709,2.0,female ,volar forearm 
472,SRS451912,SRR920623,2.0,female ,volar forearm 
473,SRS451912,SRR920710,2.0,female ,volar forearm 
572,SRS452037,SRR920910,2.0,female ,volar forearm 
573,SRS452037,SRR920973,2.0,female ,volar forearm 
574,SRS452038,SRR920911,2.0,female ,volar forearm 
575,SRS452038,SRR920974,2.0,female ,volar forearm 
806,SRS482336,SRR994406,2.0,female ,volar forearm 
807,SRS482336,SRR994476,2.0,female ,volar forearm 
818,SRS482342,SRR994412,2.0,female ,volar forearm 
819,SRS482342,SRR994482,2.0,female ,volar forearm 
820,SRS482343,SRR994413,2.0,female ,volar forearm 
821,SRS482343,SRR994483,2.0,female ,volar forearm 
832,SRS482349,SRR994419,2.0,female ,volar forearm 
833,SRS482349,SRR994489,2.0,female ,volar forearm 
834,SRS482350,SRR994420,2.0,female ,volar forearm 
835,SRS482350,SRR994490,2.0,female ,volar forearm 
844,SRS482355,SRR994425,2.0,female ,volar forearm 
845,SRS482355,SRR994495,2.0,female ,volar forearm 
846,SRS482356,SRR994426,2.0,female ,volar forearm 
847,SRS482356,SRR994496,2.0,female ,volar forearm 
858,SRS482362,SRR994432,2.0,female ,volar forearm 
859,SRS482362,SRR994502,2.0,female ,volar forearm 
860,SRS482363,SRR994433,2.0,female ,volar forearm 
861,SRS482363,SRR994503,2.0,female ,volar forearm 
910,SRS482388,SRR994458,2.0,female ,volar forearm 
911,SRS482388,SRR994528,2.0,female ,volar forearm 
912,SRS482389,SRR994459,2.0,female ,volar forearm 
913,SRS482389,SRR994529,2.0,female ,volar forearm 
924,SRS482395,SRR994465,2.0,female ,volar forearm 
925,SRS482395,SRR994535,2.0,female ,volar forearm 
926,SRS482396,SRR994466,2.0,female ,volar forearm 
927,SRS482396,SRR994536,2.0,female ,volar forearm 
986,SRS482426,SRR994567,2.0,female ,volar forearm 
987,SRS482426,SRR994650,2.0,female ,volar forearm 
990,SRS482428,SRR994568,2.0,female ,volar forearm 
991,SRS482428,SRR994651,2.0,female ,volar forearm 
1002,SRS482434,SRR994574,2.0,female ,volar forearm 
1003,SRS482434,SRR994657,2.0,female ,volar forearm 
1004,SRS482435,SRR994575,2.0,female ,volar forearm 
1005,SRS482435,SRR994658,2.0,female ,volar forearm 
1016,SRS482441,SRR994581,2.0,female ,volar forearm 
1017,SRS482441,SRR994664,2.0,female ,volar forearm 
1018,SRS482442,SRR994582,2.0,female ,volar forearm 
1019,SRS482442,SRR994665,2.0,female ,volar forearm 
1132,SRS482499,SRR994722,2.0,female ,volar forearm 
1133,SRS482499,SRR994811,2.0,female ,volar forearm 
1182,SRS482524,SRR994747,2.0,female ,volar forearm 
1183,SRS482524,SRR994836,2.0,female ,volar forearm 
1190,SRS482528,SRR994752,2.0,female ,volar forearm 
1191,SRS482528,SRR994841,2.0,female ,volar forearm 
1250,SRS482558,SRR994781,2.0,female ,volar forearm 
1251,SRS482558,SRR994870,2.0,female ,volar forearm 
1260,SRS482563,SRR994786,2.0,female ,volar forearm 
1261,SRS482563,SRR994875,2.0,female ,volar forearm 
1270,SRS482568,SRR994791,2.0,female ,volar forearm 
1271,SRS482568,SRR994880,2.0,female ,volar forearm 
1280,SRS482573,SRR994796,2.0,female ,volar forearm 
1281,SRS482573,SRR994885,2.0,female ,volar forearm 
1320,SRS482605,SRR994943,2.0,female ,volar forearm 
1321,SRS482605,SRR994992,2.0,female ,volar forearm 
1364,SRS482627,SRR994966,2.0,female ,volar forearm 
1365,SRS482627,SRR995015,2.0,female ,volar forearm 
1366,SRS482628,SRR994965,2.0,female ,volar forearm 
1367,SRS482628,SRR995014,2.0,female ,volar forearm 
1390,SRS482640,SRR994978,2.0,female ,volar forearm 
1391,SRS482640,SRR995027,2.0,female ,volar forearm 
1392,SRS482641,SRR994979,2.0,female ,volar forearm 
1393,SRS482641,SRR995028,2.0,female ,volar forearm 
1416,SRS482653,SRR995040,2.0,female ,volar forearm 
1417,SRS482653,SRR995067,2.0,female ,volar forearm 
1434,SRS482662,SRR995050,2.0,female ,volar forearm 
1435,SRS482662,SRR995077,2.0,female ,volar forearm 
1488,SRS482689,SRR995103,2.0,female ,volar forearm 
1489,SRS482689,SRR995147,2.0,female ,volar forearm 
1498,SRS482694,SRR995108,2.0,female ,volar forearm 
1499,SRS482694,SRR995152,2.0,female ,volar forearm 
1508,SRS482699,SRR995113,2.0,female ,volar forearm 
1509,SRS482699,SRR995157,2.0,female ,volar forearm 
1528,SRS482709,SRR995123,2.0,female ,volar forearm 
1529,SRS482709,SRR995167,2.0,female ,volar forearm 
1538,SRS482714,SRR995128,2.0,female ,volar forearm 
1539,SRS482714,SRR995172,2.0,female ,volar forearm 
1546,SRS482718,SRR995132,2.0,female ,volar forearm 
1547,SRS482718,SRR995176,2.0,female ,volar forearm 
1718,SRS482865,SRR995460,2.0,female ,volar forearm 
1719,SRS482865,SRR995474,2.0,female ,volar forearm 
1720,SRS482866,SRR995461,2.0,female ,volar forearm 
1721,SRS482866,SRR995475,2.0,female ,volar forearm 
1824,SRS482921,SRR995584,2.0,female ,volar forearm 
1825,SRS482921,SRR995585,2.0,female ,volar forearm 
1866,SRS482942,SRR995607,2.0,female ,volar forearm 
1867,SRS482942,SRR995657,2.0,female ,volar forearm 
1872,SRS482945,SRR995609,2.0,female ,volar forearm 
1873,SRS482945,SRR995659,2.0,female ,volar forearm 
1876,SRS482947,SRR995611,2.0,female ,volar forearm 
1877,SRS482947,SRR995661,2.0,female ,volar forearm 
1880,SRS482949,SRR995613,2.0,female ,volar forearm 
1881,SRS482949,SRR995663,2.0,female ,volar forearm 
1884,SRS482951,SRR995615,2.0,female ,volar forearm 
1885,SRS482951,SRR995665,2.0,female ,volar forearm 
1904,SRS482961,SRR995625,2.0,female ,volar forearm 
1905,SRS482961,SRR995675,2.0,female ,volar forearm 
1908,SRS482963,SRR995627,2.0,female ,volar forearm 
1909,SRS482963,SRR995677,2.0,female ,volar forearm 
1912,SRS482965,SRR995629,2.0,female ,volar forearm 
1913,SRS482965,SRR995679,2.0,female ,volar forearm 
1940,SRS482979,SRR995693,2.0,female ,volar forearm 
1941,SRS482979,SRR995728,2.0,female ,volar forearm 
1970,SRS482994,SRR995708,2.0,female ,volar forearm 
1971,SRS482994,SRR995743,2.0,female ,volar forearm 
2000,SRS483079,SRR995898,2.0,female ,volar forearm 
2001,SRS483079,SRR995972,2.0,female ,volar forearm 
2010,SRS483084,SRR995903,2.0,female ,volar forearm 
2011,SRS483084,SRR995977,2.0,female ,volar forearm 
2020,SRS483089,SRR995908,2.0,female ,volar forearm 
2021,SRS483089,SRR995982,2.0,female ,volar forearm 
2030,SRS483094,SRR995913,2.0,female ,volar forearm 
2031,SRS483094,SRR995987,2.0,female ,volar forearm 
2040,SRS483099,SRR995918,2.0,female ,volar forearm 
2041,SRS483099,SRR995992,2.0,female ,volar forearm 
2048,SRS483103,SRR995922,2.0,female ,volar forearm 
2049,SRS483103,SRR995996,2.0,female ,volar forearm 
2058,SRS483108,SRR995927,2.0,female ,volar forearm 
2059,SRS483108,SRR996001,2.0,female ,volar forearm 
2164,SRS483161,SRR996054,2.0,female ,volar forearm 
2165,SRS483161,SRR996122,2.0,female ,volar forearm 
2172,SRS483165,SRR996058,2.0,female ,volar forearm 
2173,SRS483165,SRR996126,2.0,female ,volar forearm 
2178,SRS483168,SRR996061,2.0,female ,volar forearm 
2179,SRS483168,SRR996129,2.0,female ,volar forearm 
2232,SRS483195,SRR996088,2.0,female ,volar forearm 
2233,SRS483195,SRR996156,2.0,female ,volar forearm 
2262,SRS483210,SRR996103,2.0,female ,volar forearm 
2263,SRS483210,SRR996171,2.0,female ,volar forearm 
