,Sample_ID,Run_ID,Release_version,Sex,Body_site
0,SRS451417,SRR919527,2.0,male ,antecubital crease 
1,SRS451417,SRR919587,2.0,male ,antecubital crease 
16,SRS451425,SRR919535,2.0,male ,antecubital crease 
17,SRS451425,SRR919595,2.0,male ,antecubital crease 
38,SRS451436,SRR919546,2.0,male ,antecubital crease 
39,SRS451436,SRR919606,2.0,male ,antecubital crease 
40,SRS451437,SRR919547,2.0,male ,antecubital crease 
41,SRS451437,SRR919607,2.0,male ,antecubital crease 
168,SRS451602,SRR919873,2.0,male ,antecubital crease 
169,SRS451602,SRR919923,2.0,male ,antecubital crease 
170,SRS451603,SRR919874,2.0,male ,antecubital crease 
171,SRS451603,SRR919924,2.0,male ,antecubital crease 
222,SRS451710,SRR920112,2.0,male ,antecubital crease 
223,SRS451710,SRR920159,2.0,male ,antecubital crease 
224,SRS451711,SRR920113,2.0,male ,antecubital crease 
225,SRS451711,SRR920160,2.0,male ,antecubital crease 
382,SRS451867,SRR920578,2.0,male ,antecubital crease 
383,SRS451867,SRR920665,2.0,male ,antecubital crease 
384,SRS451868,SRR920579,2.0,male ,antecubital crease 
385,SRS451868,SRR920666,2.0,male ,antecubital crease 
476,SRS451914,SRR920626,2.0,male ,antecubital crease 
477,SRS451914,SRR920713,2.0,male ,antecubital crease 
480,SRS451916,SRR920627,2.0,male ,antecubital crease 
481,SRS451916,SRR920714,2.0,male ,antecubital crease 
526,SRS451939,SRR920651,2.0,male ,antecubital crease 
527,SRS451939,SRR920738,2.0,male ,antecubital crease 
528,SRS451940,SRR920650,2.0,male ,antecubital crease 
529,SRS451940,SRR920737,2.0,male ,antecubital crease 
580,SRS452041,SRR920914,2.0,male ,antecubital crease 
581,SRS452041,SRR920977,2.0,male ,antecubital crease 
582,SRS452042,SRR920915,2.0,male ,antecubital crease 
583,SRS452042,SRR920978,2.0,male ,antecubital crease 
628,SRS452065,SRR920939,2.0,male ,antecubital crease 
629,SRS452065,SRR921002,2.0,male ,antecubital crease 
630,SRS452066,SRR920938,2.0,male ,antecubital crease 
631,SRS452066,SRR921001,2.0,male ,antecubital crease 
694,SRS452098,SRR921033,2.0,male ,antecubital crease 
695,SRS452098,SRR921096,2.0,male ,antecubital crease 
708,SRS452105,SRR921041,2.0,male ,antecubital crease 
709,SRS452105,SRR921104,2.0,male ,antecubital crease 
754,SRS452128,SRR921064,2.0,male ,antecubital crease 
755,SRS452128,SRR921127,2.0,male ,antecubital crease 
756,SRS452129,SRR921065,2.0,male ,antecubital crease 
757,SRS452129,SRR921128,2.0,male ,antecubital crease 
