,Sample_ID,Run_ID,Release_version,Sex,Body_site
2,SRS451418,SRR919528,2.0,male ,back 
3,SRS451418,SRR919588,2.0,male ,back 
20,SRS451427,SRR919536,2.0,male ,back 
21,SRS451427,SRR919596,2.0,male ,back 
42,SRS451438,SRR919548,2.0,male ,back 
43,SRS451438,SRR919608,2.0,male ,back 
190,SRS451613,SRR919884,2.0,male ,back 
191,SRS451613,SRR919934,2.0,male ,back 
226,SRS451712,SRR920114,2.0,male ,back 
227,SRS451712,SRR920161,2.0,male ,back 
400,SRS451876,SRR920587,2.0,male ,back 
401,SRS451876,SRR920674,2.0,male ,back 
496,SRS451924,SRR920635,2.0,male ,back 
497,SRS451924,SRR920722,2.0,male ,back 
544,SRS451948,SRR920659,2.0,male ,back 
545,SRS451948,SRR920746,2.0,male ,back 
598,SRS452050,SRR920923,2.0,male ,back 
599,SRS452050,SRR920986,2.0,male ,back 
644,SRS452073,SRR920947,2.0,male ,back 
645,SRS452073,SRR921010,2.0,male ,back 
758,SRS452130,SRR921066,2.0,male ,back 
759,SRS452130,SRR921129,2.0,male ,back 
