,Sample_ID,Run_ID,Release_version,Sex,Body_site
4,SRS451419,SRR919529,2.0,male ,external auditory canal 
5,SRS451419,SRR919589,2.0,male ,external auditory canal 
44,SRS451439,SRR919549,2.0,male ,external auditory canal 
45,SRS451439,SRR919609,2.0,male ,external auditory canal 
204,SRS451620,SRR919891,2.0,male ,external auditory canal 
205,SRS451620,SRR919941,2.0,male ,external auditory canal 
206,SRS451621,SRR919892,2.0,male ,external auditory canal 
207,SRS451621,SRR919942,2.0,male ,external auditory canal 
228,SRS451713,SRR920115,2.0,male ,external auditory canal 
229,SRS451713,SRR920162,2.0,male ,external auditory canal 
230,SRS451714,SRR920116,2.0,male ,external auditory canal 
231,SRS451714,SRR920163,2.0,male ,external auditory canal 
386,SRS451869,SRR920580,2.0,male ,external auditory canal 
387,SRS451869,SRR920667,2.0,male ,external auditory canal 
388,SRS451870,SRR920581,2.0,male ,external auditory canal 
389,SRS451870,SRR920668,2.0,male ,external auditory canal 
482,SRS451917,SRR920628,2.0,male ,external auditory canal 
483,SRS451917,SRR920715,2.0,male ,external auditory canal 
484,SRS451918,SRR920629,2.0,male ,external auditory canal 
485,SRS451918,SRR920716,2.0,male ,external auditory canal 
530,SRS451941,SRR920652,2.0,male ,external auditory canal 
531,SRS451941,SRR920739,2.0,male ,external auditory canal 
532,SRS451942,SRR920653,2.0,male ,external auditory canal 
533,SRS451942,SRR920740,2.0,male ,external auditory canal 
584,SRS452043,SRR920916,2.0,male ,external auditory canal 
585,SRS452043,SRR920979,2.0,male ,external auditory canal 
586,SRS452044,SRR920917,2.0,male ,external auditory canal 
587,SRS452044,SRR920980,2.0,male ,external auditory canal 
632,SRS452067,SRR920940,2.0,male ,external auditory canal 
633,SRS452067,SRR921003,2.0,male ,external auditory canal 
634,SRS452068,SRR920941,2.0,male ,external auditory canal 
635,SRS452068,SRR921004,2.0,male ,external auditory canal 
692,SRS452097,SRR921034,2.0,male ,external auditory canal 
693,SRS452097,SRR921097,2.0,male ,external auditory canal 
710,SRS452106,SRR921042,2.0,male ,external auditory canal 
711,SRS452106,SRR921105,2.0,male ,external auditory canal 
728,SRS452115,SRR921051,2.0,male ,external auditory canal 
729,SRS452115,SRR921114,2.0,male ,external auditory canal 
734,SRS452118,SRR921054,2.0,male ,external auditory canal 
735,SRS452118,SRR921117,2.0,male ,external auditory canal 
760,SRS452131,SRR921067,2.0,male ,external auditory canal 
761,SRS452131,SRR921130,2.0,male ,external auditory canal 
762,SRS452132,SRR921068,2.0,male ,external auditory canal 
763,SRS452132,SRR921131,2.0,male ,external auditory canal 
