,Sample_ID,Run_ID,Release_version,Sex,Body_site
18,SRS451426,SRR919537,2.0,male ,glabella 
19,SRS451426,SRR919597,2.0,male ,glabella 
46,SRS451440,SRR919550,2.0,male ,glabella 
47,SRS451440,SRR919610,2.0,male ,glabella 
188,SRS451612,SRR919883,2.0,male ,glabella 
189,SRS451612,SRR919933,2.0,male ,glabella 
232,SRS451715,SRR920117,2.0,male ,glabella 
233,SRS451715,SRR920164,2.0,male ,glabella 
390,SRS451871,SRR920582,2.0,male ,glabella 
391,SRS451871,SRR920669,2.0,male ,glabella 
488,SRS451920,SRR920630,2.0,male ,glabella 
489,SRS451920,SRR920717,2.0,male ,glabella 
534,SRS451943,SRR920654,2.0,male ,glabella 
535,SRS451943,SRR920741,2.0,male ,glabella 
554,SRS452028,SRR920901,2.0,male ,glabella 
555,SRS452028,SRR920964,2.0,male ,glabella 
588,SRS452045,SRR920918,2.0,male ,glabella 
589,SRS452045,SRR920981,2.0,male ,glabella 
636,SRS452069,SRR920942,2.0,male ,glabella 
637,SRS452069,SRR921005,2.0,male ,glabella 
678,SRS452090,SRR921025,2.0,male ,glabella 
679,SRS452090,SRR921088,2.0,male ,glabella 
764,SRS452133,SRR921069,2.0,male ,glabella 
765,SRS452133,SRR921132,2.0,male ,glabella 
2718,SRS483432,SRR996673,2.0,male ,glabella 
2719,SRS483432,SRR996761,2.0,male ,glabella 
2754,SRS483450,SRR996691,2.0,male ,glabella 
2755,SRS483450,SRR996779,2.0,male ,glabella 
2756,SRS483451,SRR996692,2.0,male ,glabella 
2757,SRS483451,SRR996780,2.0,male ,glabella 
2758,SRS483452,SRR996693,2.0,male ,glabella 
2759,SRS483452,SRR996781,2.0,male ,glabella 
2762,SRS483454,SRR996695,2.0,male ,glabella 
2763,SRS483454,SRR996783,2.0,male ,glabella 
2764,SRS483455,SRR996696,2.0,male ,glabella 
2765,SRS483455,SRR996784,2.0,male ,glabella 
2784,SRS483465,SRR996706,2.0,male ,glabella 
2785,SRS483465,SRR996794,2.0,male ,glabella 
2814,SRS483480,SRR996721,2.0,male ,glabella 
2815,SRS483480,SRR996809,2.0,male ,glabella 
2832,SRS483489,SRR996730,2.0,male ,glabella 
2833,SRS483489,SRR996818,2.0,male ,glabella 
2838,SRS483492,SRR996733,2.0,male ,glabella 
2839,SRS483492,SRR996821,2.0,male ,glabella 
2854,SRS483500,SRR996741,2.0,male ,glabella 
2855,SRS483500,SRR996829,2.0,male ,glabella 
