,Sample_ID,Run_ID,Release_version,Sex,Body_site
6,SRS451420,SRR919530,2.0,male ,hypothenar palm 
7,SRS451420,SRR919590,2.0,male ,hypothenar palm 
22,SRS451428,SRR919538,2.0,male ,hypothenar palm 
23,SRS451428,SRR919598,2.0,male ,hypothenar palm 
48,SRS451441,SRR919551,2.0,male ,hypothenar palm 
49,SRS451441,SRR919611,2.0,male ,hypothenar palm 
50,SRS451442,SRR919552,2.0,male ,hypothenar palm 
51,SRS451442,SRR919612,2.0,male ,hypothenar palm 
208,SRS451622,SRR919893,2.0,male ,hypothenar palm 
209,SRS451622,SRR919943,2.0,male ,hypothenar palm 
210,SRS451623,SRR919894,2.0,male ,hypothenar palm 
211,SRS451623,SRR919944,2.0,male ,hypothenar palm 
234,SRS451716,SRR920118,2.0,male ,hypothenar palm 
235,SRS451716,SRR920165,2.0,male ,hypothenar palm 
236,SRS451717,SRR920119,2.0,male ,hypothenar palm 
237,SRS451717,SRR920166,2.0,male ,hypothenar palm 
392,SRS451872,SRR920583,2.0,male ,hypothenar palm 
393,SRS451872,SRR920670,2.0,male ,hypothenar palm 
394,SRS451873,SRR920584,2.0,male ,hypothenar palm 
395,SRS451873,SRR920671,2.0,male ,hypothenar palm 
486,SRS451919,SRR920631,2.0,male ,hypothenar palm 
487,SRS451919,SRR920718,2.0,male ,hypothenar palm 
490,SRS451921,SRR920632,2.0,male ,hypothenar palm 
491,SRS451921,SRR920719,2.0,male ,hypothenar palm 
536,SRS451944,SRR920655,2.0,male ,hypothenar palm 
537,SRS451944,SRR920742,2.0,male ,hypothenar palm 
538,SRS451945,SRR920656,2.0,male ,hypothenar palm 
539,SRS451945,SRR920743,2.0,male ,hypothenar palm 
590,SRS452046,SRR920919,2.0,male ,hypothenar palm 
591,SRS452046,SRR920982,2.0,male ,hypothenar palm 
592,SRS452047,SRR920920,2.0,male ,hypothenar palm 
593,SRS452047,SRR920983,2.0,male ,hypothenar palm 
638,SRS452070,SRR920944,2.0,male ,hypothenar palm 
639,SRS452070,SRR921007,2.0,male ,hypothenar palm 
640,SRS452071,SRR920943,2.0,male ,hypothenar palm 
641,SRS452071,SRR921006,2.0,male ,hypothenar palm 
696,SRS452099,SRR921035,2.0,male ,hypothenar palm 
697,SRS452099,SRR921098,2.0,male ,hypothenar palm 
712,SRS452107,SRR921043,2.0,male ,hypothenar palm 
713,SRS452107,SRR921106,2.0,male ,hypothenar palm 
766,SRS452134,SRR921070,2.0,male ,hypothenar palm 
767,SRS452134,SRR921133,2.0,male ,hypothenar palm 
768,SRS452135,SRR921071,2.0,male ,hypothenar palm 
769,SRS452135,SRR921134,2.0,male ,hypothenar palm 
