,Sample_ID,Run_ID,Release_version,Sex,Body_site
26,SRS451430,SRR919540,2.0,male ,manubrium 
27,SRS451430,SRR919600,2.0,male ,manubrium 
56,SRS451445,SRR919555,2.0,male ,manubrium 
57,SRS451445,SRR919615,2.0,male ,manubrium 
196,SRS451616,SRR919887,2.0,male ,manubrium 
197,SRS451616,SRR919937,2.0,male ,manubrium 
242,SRS451720,SRR920122,2.0,male ,manubrium 
243,SRS451720,SRR920169,2.0,male ,manubrium 
402,SRS451877,SRR920588,2.0,male ,manubrium 
403,SRS451877,SRR920675,2.0,male ,manubrium 
500,SRS451926,SRR920636,2.0,male ,manubrium 
501,SRS451926,SRR920723,2.0,male ,manubrium 
546,SRS451949,SRR920660,2.0,male ,manubrium 
547,SRS451949,SRR920747,2.0,male ,manubrium 
600,SRS452051,SRR920924,2.0,male ,manubrium 
601,SRS452051,SRR920987,2.0,male ,manubrium 
648,SRS452075,SRR920948,2.0,male ,manubrium 
649,SRS452075,SRR921011,2.0,male ,manubrium 
680,SRS452091,SRR921027,2.0,male ,manubrium 
681,SRS452091,SRR921090,2.0,male ,manubrium 
772,SRS452137,SRR921074,2.0,male ,manubrium 
773,SRS452137,SRR921137,2.0,male ,manubrium 
