,Sample_ID,Run_ID,Release_version,Sex,Body_site
58,SRS451446,SRR919556,2.0,male ,nare 
59,SRS451446,SRR919616,2.0,male ,nare 
178,SRS451607,SRR919879,2.0,male ,nare 
179,SRS451607,SRR919929,2.0,male ,nare 
182,SRS451609,SRR919880,2.0,male ,nare 
183,SRS451609,SRR919930,2.0,male ,nare 
244,SRS451721,SRR920123,2.0,male ,nare 
245,SRS451721,SRR920170,2.0,male ,nare 
246,SRS451722,SRR920124,2.0,male ,nare 
247,SRS451722,SRR920171,2.0,male ,nare 
404,SRS451878,SRR920589,2.0,male ,nare 
405,SRS451878,SRR920676,2.0,male ,nare 
406,SRS451879,SRR920590,2.0,male ,nare 
407,SRS451879,SRR920677,2.0,male ,nare 
498,SRS451925,SRR920637,2.0,male ,nare 
499,SRS451925,SRR920724,2.0,male ,nare 
502,SRS451927,SRR920638,2.0,male ,nare 
503,SRS451927,SRR920725,2.0,male ,nare 
548,SRS451950,SRR920661,2.0,male ,nare 
549,SRS451950,SRR920748,2.0,male ,nare 
552,SRS452027,SRR920899,2.0,male ,nare 
553,SRS452027,SRR920962,2.0,male ,nare 
602,SRS452052,SRR920925,2.0,male ,nare 
603,SRS452052,SRR920988,2.0,male ,nare 
604,SRS452053,SRR920926,2.0,male ,nare 
605,SRS452053,SRR920989,2.0,male ,nare 
650,SRS452076,SRR920950,2.0,male ,nare 
651,SRS452076,SRR921013,2.0,male ,nare 
652,SRS452077,SRR920949,2.0,male ,nare 
653,SRS452077,SRR921012,2.0,male ,nare 
684,SRS452093,SRR921028,2.0,male ,nare 
685,SRS452093,SRR921091,2.0,male ,nare 
700,SRS452101,SRR921037,2.0,male ,nare 
701,SRS452101,SRR921100,2.0,male ,nare 
716,SRS452109,SRR921045,2.0,male ,nare 
717,SRS452109,SRR921108,2.0,male ,nare 
730,SRS452116,SRR921052,2.0,male ,nare 
731,SRS452116,SRR921115,2.0,male ,nare 
738,SRS452120,SRR921056,2.0,male ,nare 
739,SRS452120,SRR921119,2.0,male ,nare 
776,SRS452139,SRR921075,2.0,male ,nare 
777,SRS452139,SRR921138,2.0,male ,nare 
780,SRS452141,SRR921076,2.0,male ,nare 
781,SRS452141,SRR921139,2.0,male ,nare 
878,SRS482372,SRR994442,2.0,male ,nare 
879,SRS482372,SRR994512,2.0,male ,nare 
892,SRS482379,SRR994449,2.0,male ,nare 
893,SRS482379,SRR994519,2.0,male ,nare 
902,SRS482384,SRR994454,2.0,male ,nare 
903,SRS482384,SRR994524,2.0,male ,nare 
938,SRS482402,SRR994472,2.0,male ,nare 
939,SRS482402,SRR994542,2.0,male ,nare 
940,SRS482403,SRR994473,2.0,male ,nare 
941,SRS482403,SRR994543,2.0,male ,nare 
954,SRS482410,SRR994550,2.0,male ,nare 
955,SRS482410,SRR994633,2.0,male ,nare 
970,SRS482418,SRR994557,2.0,male ,nare 
971,SRS482418,SRR994640,2.0,male ,nare 
982,SRS482424,SRR994564,2.0,male ,nare 
983,SRS482424,SRR994647,2.0,male ,nare 
1038,SRS482452,SRR994592,2.0,male ,nare 
1039,SRS482452,SRR994675,2.0,male ,nare 
1052,SRS482459,SRR994599,2.0,male ,nare 
1053,SRS482459,SRR994682,2.0,male ,nare 
1064,SRS482465,SRR994606,2.0,male ,nare 
1065,SRS482465,SRR994689,2.0,male ,nare 
1072,SRS482469,SRR994609,2.0,male ,nare 
1073,SRS482469,SRR994692,2.0,male ,nare 
1080,SRS482473,SRR994613,2.0,male ,nare 
1081,SRS482473,SRR994696,2.0,male ,nare 
1090,SRS482478,SRR994617,2.0,male ,nare 
1091,SRS482478,SRR994700,2.0,male ,nare 
1096,SRS482481,SRR994621,2.0,male ,nare 
1097,SRS482481,SRR994704,2.0,male ,nare 
1104,SRS482485,SRR994625,2.0,male ,nare 
1105,SRS482485,SRR994708,2.0,male ,nare 
1114,SRS482490,SRR994713,2.0,male ,nare 
1115,SRS482490,SRR994802,2.0,male ,nare 
1126,SRS482496,SRR994718,2.0,male ,nare 
1127,SRS482496,SRR994807,2.0,male ,nare 
