,Sample_ID,Run_ID,Release_version,Sex,Body_site
28,SRS451431,SRR919541,2.0,male ,occiput 
29,SRS451431,SRR919601,2.0,male ,occiput 
60,SRS451447,SRR919557,2.0,male ,occiput 
61,SRS451447,SRR919617,2.0,male ,occiput 
198,SRS451617,SRR919888,2.0,male ,occiput 
199,SRS451617,SRR919938,2.0,male ,occiput 
248,SRS451723,SRR920125,2.0,male ,occiput 
249,SRS451723,SRR920172,2.0,male ,occiput 
408,SRS451880,SRR920591,2.0,male ,occiput 
409,SRS451880,SRR920678,2.0,male ,occiput 
508,SRS451930,SRR920639,2.0,male ,occiput 
509,SRS451930,SRR920726,2.0,male ,occiput 
606,SRS452054,SRR920927,2.0,male ,occiput 
607,SRS452054,SRR920990,2.0,male ,occiput 
654,SRS452078,SRR920951,2.0,male ,occiput 
655,SRS452078,SRR921014,2.0,male ,occiput 
682,SRS452092,SRR921029,2.0,male ,occiput 
683,SRS452092,SRR921092,2.0,male ,occiput 
778,SRS452140,SRR921077,2.0,male ,occiput 
779,SRS452140,SRR921140,2.0,male ,occiput 
