,Sample_ID,Run_ID,Release_version,Sex,Body_site
30,SRS451432,SRR919542,2.0,male ,plantar heel 
31,SRS451432,SRR919602,2.0,male ,plantar heel 
62,SRS451448,SRR919558,2.0,male ,plantar heel 
63,SRS451448,SRR919618,2.0,male ,plantar heel 
64,SRS451449,SRR919559,2.0,male ,plantar heel 
65,SRS451449,SRR919619,2.0,male ,plantar heel 
184,SRS451610,SRR919881,2.0,male ,plantar heel 
185,SRS451610,SRR919931,2.0,male ,plantar heel 
186,SRS451611,SRR919882,2.0,male ,plantar heel 
187,SRS451611,SRR919932,2.0,male ,plantar heel 
218,SRS451627,SRR919898,2.0,male ,plantar heel 
219,SRS451627,SRR919948,2.0,male ,plantar heel 
250,SRS451724,SRR920126,2.0,male ,plantar heel 
251,SRS451724,SRR920173,2.0,male ,plantar heel 
252,SRS451725,SRR920127,2.0,male ,plantar heel 
253,SRS451725,SRR920174,2.0,male ,plantar heel 
410,SRS451881,SRR920592,2.0,male ,plantar heel 
411,SRS451881,SRR920679,2.0,male ,plantar heel 
412,SRS451882,SRR920593,2.0,male ,plantar heel 
413,SRS451882,SRR920680,2.0,male ,plantar heel 
504,SRS451928,SRR920640,2.0,male ,plantar heel 
505,SRS451928,SRR920727,2.0,male ,plantar heel 
506,SRS451929,SRR920641,2.0,male ,plantar heel 
507,SRS451929,SRR920728,2.0,male ,plantar heel 
608,SRS452055,SRR920928,2.0,male ,plantar heel 
609,SRS452055,SRR920991,2.0,male ,plantar heel 
610,SRS452056,SRR920929,2.0,male ,plantar heel 
611,SRS452056,SRR920992,2.0,male ,plantar heel 
656,SRS452079,SRR920952,2.0,male ,plantar heel 
657,SRS452079,SRR921015,2.0,male ,plantar heel 
658,SRS452080,SRR920953,2.0,male ,plantar heel 
659,SRS452080,SRR921016,2.0,male ,plantar heel 
686,SRS452094,SRR921030,2.0,male ,plantar heel 
687,SRS452094,SRR921093,2.0,male ,plantar heel 
702,SRS452102,SRR921038,2.0,male ,plantar heel 
703,SRS452102,SRR921101,2.0,male ,plantar heel 
718,SRS452110,SRR921046,2.0,male ,plantar heel 
719,SRS452110,SRR921109,2.0,male ,plantar heel 
736,SRS452119,SRR921055,2.0,male ,plantar heel 
737,SRS452119,SRR921118,2.0,male ,plantar heel 
782,SRS452142,SRR921078,2.0,male ,plantar heel 
783,SRS452142,SRR921141,2.0,male ,plantar heel 
784,SRS452143,SRR921079,2.0,male ,plantar heel 
785,SRS452143,SRR921142,2.0,male ,plantar heel 
