,Sample_ID,Run_ID,Release_version,Sex,Body_site
8,SRS451421,SRR919531,2.0,male ,retroauricular crease 
9,SRS451421,SRR919591,2.0,male ,retroauricular crease 
12,SRS451423,SRR919533,2.0,male ,retroauricular crease 
13,SRS451423,SRR919593,2.0,male ,retroauricular crease 
32,SRS451433,SRR919543,2.0,male ,retroauricular crease 
33,SRS451433,SRR919603,2.0,male ,retroauricular crease 
66,SRS451450,SRR919560,2.0,male ,retroauricular crease 
67,SRS451450,SRR919620,2.0,male ,retroauricular crease 
68,SRS451451,SRR919561,2.0,male ,retroauricular crease 
69,SRS451451,SRR919621,2.0,male ,retroauricular crease 
192,SRS451614,SRR919885,2.0,male ,retroauricular crease 
193,SRS451614,SRR919935,2.0,male ,retroauricular crease 
194,SRS451615,SRR919886,2.0,male ,retroauricular crease 
195,SRS451615,SRR919936,2.0,male ,retroauricular crease 
254,SRS451726,SRR920128,2.0,male ,retroauricular crease 
255,SRS451726,SRR920175,2.0,male ,retroauricular crease 
258,SRS451728,SRR920130,2.0,male ,retroauricular crease 
259,SRS451728,SRR920177,2.0,male ,retroauricular crease 
414,SRS451883,SRR920594,2.0,male ,retroauricular crease 
415,SRS451883,SRR920681,2.0,male ,retroauricular crease 
416,SRS451884,SRR920595,2.0,male ,retroauricular crease 
417,SRS451884,SRR920682,2.0,male ,retroauricular crease 
510,SRS451931,SRR920642,2.0,male ,retroauricular crease 
511,SRS451931,SRR920729,2.0,male ,retroauricular crease 
512,SRS451932,SRR920643,2.0,male ,retroauricular crease 
513,SRS451932,SRR920730,2.0,male ,retroauricular crease 
612,SRS452057,SRR920930,2.0,male ,retroauricular crease 
613,SRS452057,SRR920993,2.0,male ,retroauricular crease 
614,SRS452058,SRR920931,2.0,male ,retroauricular crease 
615,SRS452058,SRR920994,2.0,male ,retroauricular crease 
660,SRS452081,SRR920955,2.0,male ,retroauricular crease 
661,SRS452081,SRR921018,2.0,male ,retroauricular crease 
662,SRS452082,SRR920954,2.0,male ,retroauricular crease 
663,SRS452082,SRR921017,2.0,male ,retroauricular crease 
722,SRS452112,SRR921047,2.0,male ,retroauricular crease 
723,SRS452112,SRR921110,2.0,male ,retroauricular crease 
786,SRS452144,SRR921080,2.0,male ,retroauricular crease 
787,SRS452144,SRR921143,2.0,male ,retroauricular crease 
788,SRS452145,SRR921081,2.0,male ,retroauricular crease 
789,SRS452145,SRR921144,2.0,male ,retroauricular crease 
1074,SRS482470,SRR994610,2.0,male ,retroauricular crease 
1075,SRS482470,SRR994693,2.0,male ,retroauricular crease 
1082,SRS482474,SRR994614,2.0,male ,retroauricular crease 
1083,SRS482474,SRR994697,2.0,male ,retroauricular crease 
1088,SRS482477,SRR994618,2.0,male ,retroauricular crease 
