,Sample_ID,Run_ID,Release_version,Sex,Body_site
70,SRS451452,SRR919562,2.0,male ,toenail 
71,SRS451452,SRR919622,2.0,male ,toenail 
212,SRS451624,SRR919895,2.0,male ,toenail 
213,SRS451624,SRR919945,2.0,male ,toenail 
214,SRS451625,SRR919896,2.0,male ,toenail 
215,SRS451625,SRR919946,2.0,male ,toenail 
266,SRS451732,SRR920134,2.0,male ,toenail 
267,SRS451732,SRR920181,2.0,male ,toenail 
314,SRS451756,SRR920205,2.0,male ,toenail 
315,SRS451756,SRR920236,2.0,male ,toenail 
426,SRS451889,SRR920600,2.0,male ,toenail 
427,SRS451889,SRR920687,2.0,male ,toenail 
430,SRS451891,SRR920601,2.0,male ,toenail 
431,SRS451891,SRR920688,2.0,male ,toenail 
522,SRS451937,SRR920648,2.0,male ,toenail 
523,SRS451937,SRR920735,2.0,male ,toenail 
524,SRS451938,SRR920649,2.0,male ,toenail 
525,SRS451938,SRR920736,2.0,male ,toenail 
622,SRS452062,SRR920936,2.0,male ,toenail 
623,SRS452062,SRR920999,2.0,male ,toenail 
626,SRS452064,SRR920937,2.0,male ,toenail 
627,SRS452064,SRR921000,2.0,male ,toenail 
672,SRS452087,SRR920960,2.0,male ,toenail 
673,SRS452087,SRR921023,2.0,male ,toenail 
674,SRS452088,SRR920961,2.0,male ,toenail 
675,SRS452088,SRR921024,2.0,male ,toenail 
688,SRS452095,SRR921031,2.0,male ,toenail 
689,SRS452095,SRR921094,2.0,male ,toenail 
704,SRS452103,SRR921039,2.0,male ,toenail 
705,SRS452103,SRR921102,2.0,male ,toenail 
720,SRS452111,SRR921048,2.0,male ,toenail 
721,SRS452111,SRR921111,2.0,male ,toenail 
732,SRS452117,SRR921053,2.0,male ,toenail 
733,SRS452117,SRR921116,2.0,male ,toenail 
740,SRS452121,SRR921057,2.0,male ,toenail 
741,SRS452121,SRR921120,2.0,male ,toenail 
790,SRS452146,SRR921082,2.0,male ,toenail 
791,SRS452146,SRR921145,2.0,male ,toenail 
792,SRS452147,SRR921083,2.0,male ,toenail 
793,SRS452147,SRR921146,2.0,male ,toenail 
