,Sample_ID,Run_ID,Release_version,Sex,Body_site
10,SRS451422,SRR919532,2.0,male ,toeweb 
11,SRS451422,SRR919592,2.0,male ,toeweb 
14,SRS451424,SRR919534,2.0,male ,toeweb 
15,SRS451424,SRR919594,2.0,male ,toeweb 
34,SRS451434,SRR919544,2.0,male ,toeweb 
35,SRS451434,SRR919604,2.0,male ,toeweb 
72,SRS451453,SRR919563,2.0,male ,toeweb 
73,SRS451453,SRR919623,2.0,male ,toeweb 
74,SRS451454,SRR919564,2.0,male ,toeweb 
75,SRS451454,SRR919624,2.0,male ,toeweb 
200,SRS451618,SRR919889,2.0,male ,toeweb 
201,SRS451618,SRR919939,2.0,male ,toeweb 
202,SRS451619,SRR919890,2.0,male ,toeweb 
203,SRS451619,SRR919940,2.0,male ,toeweb 
256,SRS451727,SRR920129,2.0,male ,toeweb 
257,SRS451727,SRR920176,2.0,male ,toeweb 
260,SRS451729,SRR920131,2.0,male ,toeweb 
261,SRS451729,SRR920178,2.0,male ,toeweb 
418,SRS451885,SRR920597,2.0,male ,toeweb 
419,SRS451885,SRR920684,2.0,male ,toeweb 
420,SRS451886,SRR920596,2.0,male ,toeweb 
421,SRS451886,SRR920683,2.0,male ,toeweb 
514,SRS451933,SRR920644,2.0,male ,toeweb 
515,SRS451933,SRR920731,2.0,male ,toeweb 
518,SRS451935,SRR920645,2.0,male ,toeweb 
519,SRS451935,SRR920732,2.0,male ,toeweb 
616,SRS452059,SRR920933,2.0,male ,toeweb 
617,SRS452059,SRR920996,2.0,male ,toeweb 
618,SRS452060,SRR920932,2.0,male ,toeweb 
619,SRS452060,SRR920995,2.0,male ,toeweb 
664,SRS452083,SRR920956,2.0,male ,toeweb 
665,SRS452083,SRR921019,2.0,male ,toeweb 
668,SRS452085,SRR920957,2.0,male ,toeweb 
669,SRS452085,SRR921020,2.0,male ,toeweb 
724,SRS452113,SRR921049,2.0,male ,toeweb 
725,SRS452113,SRR921112,2.0,male ,toeweb 
794,SRS452148,SRR921084,2.0,male ,toeweb 
795,SRS452148,SRR921147,2.0,male ,toeweb 
796,SRS452149,SRR921085,2.0,male ,toeweb 
797,SRS452149,SRR921148,2.0,male ,toeweb 
