,Sample_ID,Run_ID,Release_version,Sex,Body_site
36,SRS451435,SRR919545,2.0,male ,volar forearm 
37,SRS451435,SRR919605,2.0,male ,volar forearm 
76,SRS451455,SRR919565,2.0,male ,volar forearm 
77,SRS451455,SRR919625,2.0,male ,volar forearm 
78,SRS451456,SRR919566,2.0,male ,volar forearm 
79,SRS451456,SRR919626,2.0,male ,volar forearm 
172,SRS451604,SRR919875,2.0,male ,volar forearm 
173,SRS451604,SRR919925,2.0,male ,volar forearm 
174,SRS451605,SRR919876,2.0,male ,volar forearm 
175,SRS451605,SRR919926,2.0,male ,volar forearm 
216,SRS451626,SRR919897,2.0,male ,volar forearm 
217,SRS451626,SRR919947,2.0,male ,volar forearm 
262,SRS451730,SRR920132,2.0,male ,volar forearm 
263,SRS451730,SRR920179,2.0,male ,volar forearm 
264,SRS451731,SRR920133,2.0,male ,volar forearm 
265,SRS451731,SRR920180,2.0,male ,volar forearm 
422,SRS451887,SRR920598,2.0,male ,volar forearm 
423,SRS451887,SRR920685,2.0,male ,volar forearm 
424,SRS451888,SRR920599,2.0,male ,volar forearm 
425,SRS451888,SRR920686,2.0,male ,volar forearm 
516,SRS451934,SRR920646,2.0,male ,volar forearm 
517,SRS451934,SRR920733,2.0,male ,volar forearm 
520,SRS451936,SRR920647,2.0,male ,volar forearm 
521,SRS451936,SRR920734,2.0,male ,volar forearm 
620,SRS452061,SRR920934,2.0,male ,volar forearm 
621,SRS452061,SRR920997,2.0,male ,volar forearm 
624,SRS452063,SRR920935,2.0,male ,volar forearm 
625,SRS452063,SRR920998,2.0,male ,volar forearm 
666,SRS452084,SRR920958,2.0,male ,volar forearm 
667,SRS452084,SRR921021,2.0,male ,volar forearm 
670,SRS452086,SRR920959,2.0,male ,volar forearm 
671,SRS452086,SRR921022,2.0,male ,volar forearm 
690,SRS452096,SRR921032,2.0,male ,volar forearm 
691,SRS452096,SRR921095,2.0,male ,volar forearm 
706,SRS452104,SRR921040,2.0,male ,volar forearm 
707,SRS452104,SRR921103,2.0,male ,volar forearm 
726,SRS452114,SRR921050,2.0,male ,volar forearm 
727,SRS452114,SRR921113,2.0,male ,volar forearm 
798,SRS452150,SRR921086,2.0,male ,volar forearm 
799,SRS452150,SRR921149,2.0,male ,volar forearm 
800,SRS452152,SRR921087,2.0,male ,volar forearm 
801,SRS452152,SRR921150,2.0,male ,volar forearm 
870,SRS482368,SRR994438,2.0,male ,volar forearm 
871,SRS482368,SRR994508,2.0,male ,volar forearm 
872,SRS482369,SRR994439,2.0,male ,volar forearm 
873,SRS482369,SRR994509,2.0,male ,volar forearm 
884,SRS482375,SRR994445,2.0,male ,volar forearm 
885,SRS482375,SRR994515,2.0,male ,volar forearm 
886,SRS482376,SRR994446,2.0,male ,volar forearm 
887,SRS482376,SRR994516,2.0,male ,volar forearm 
894,SRS482380,SRR994450,2.0,male ,volar forearm 
895,SRS482380,SRR994520,2.0,male ,volar forearm 
896,SRS482381,SRR994451,2.0,male ,volar forearm 
897,SRS482381,SRR994521,2.0,male ,volar forearm 
904,SRS482385,SRR994455,2.0,male ,volar forearm 
905,SRS482385,SRR994525,2.0,male ,volar forearm 
946,SRS482406,SRR994547,2.0,male ,volar forearm 
947,SRS482406,SRR994630,2.0,male ,volar forearm 
948,SRS482407,SRR994546,2.0,male ,volar forearm 
949,SRS482407,SRR994629,2.0,male ,volar forearm 
960,SRS482413,SRR994554,2.0,male ,volar forearm 
961,SRS482413,SRR994637,2.0,male ,volar forearm 
962,SRS482414,SRR994553,2.0,male ,volar forearm 
963,SRS482414,SRR994636,2.0,male ,volar forearm 
974,SRS482420,SRR994560,2.0,male ,volar forearm 
975,SRS482420,SRR994643,2.0,male ,volar forearm 
978,SRS482422,SRR994561,2.0,male ,volar forearm 
979,SRS482422,SRR994644,2.0,male ,volar forearm 
1030,SRS482448,SRR994588,2.0,male ,volar forearm 
1031,SRS482448,SRR994671,2.0,male ,volar forearm 
1032,SRS482449,SRR994589,2.0,male ,volar forearm 
1033,SRS482449,SRR994672,2.0,male ,volar forearm 
1044,SRS482455,SRR994595,2.0,male ,volar forearm 
1045,SRS482455,SRR994678,2.0,male ,volar forearm 
1046,SRS482456,SRR994596,2.0,male ,volar forearm 
1047,SRS482456,SRR994679,2.0,male ,volar forearm 
1058,SRS482462,SRR994602,2.0,male ,volar forearm 
1059,SRS482462,SRR994685,2.0,male ,volar forearm 
1060,SRS482463,SRR994603,2.0,male ,volar forearm 
1061,SRS482463,SRR994686,2.0,male ,volar forearm 
1070,SRS482468,SRR994608,2.0,male ,volar forearm 
1071,SRS482468,SRR994691,2.0,male ,volar forearm 
1078,SRS482472,SRR994612,2.0,male ,volar forearm 
1079,SRS482472,SRR994695,2.0,male ,volar forearm 
1086,SRS482476,SRR994616,2.0,male ,volar forearm 
1087,SRS482476,SRR994699,2.0,male ,volar forearm 
1094,SRS482480,SRR994620,2.0,male ,volar forearm 
1095,SRS482480,SRR994703,2.0,male ,volar forearm 
1102,SRS482484,SRR994624,2.0,male ,volar forearm 
1103,SRS482484,SRR994707,2.0,male ,volar forearm 
1112,SRS482489,SRR994712,2.0,male ,volar forearm 
1113,SRS482489,SRR994801,2.0,male ,volar forearm 
1122,SRS482494,SRR994717,2.0,male ,volar forearm 
1123,SRS482494,SRR994806,2.0,male ,volar forearm 
1142,SRS482504,SRR994727,2.0,male ,volar forearm 
1143,SRS482504,SRR994816,2.0,male ,volar forearm 
1150,SRS482508,SRR994732,2.0,male ,volar forearm 
1151,SRS482508,SRR994821,2.0,male ,volar forearm 
1162,SRS482514,SRR994737,2.0,male ,volar forearm 
1163,SRS482514,SRR994826,2.0,male ,volar forearm 
1172,SRS482519,SRR994742,2.0,male ,volar forearm 
1173,SRS482519,SRR994831,2.0,male ,volar forearm 
1204,SRS482535,SRR994757,2.0,male ,volar forearm 
1205,SRS482535,SRR994846,2.0,male ,volar forearm 
1212,SRS482539,SRR994762,2.0,male ,volar forearm 
1213,SRS482539,SRR994851,2.0,male ,volar forearm 
1218,SRS482542,SRR994766,2.0,male ,volar forearm 
1219,SRS482542,SRR994855,2.0,male ,volar forearm 
1230,SRS482548,SRR994771,2.0,male ,volar forearm 
1231,SRS482548,SRR994860,2.0,male ,volar forearm 
1238,SRS482552,SRR994776,2.0,male ,volar forearm 
1239,SRS482552,SRR994865,2.0,male ,volar forearm 
1374,SRS482632,SRR994970,2.0,male ,volar forearm 
1375,SRS482632,SRR995019,2.0,male ,volar forearm 
1376,SRS482633,SRR994971,2.0,male ,volar forearm 
1377,SRS482633,SRR995020,2.0,male ,volar forearm 
1406,SRS482648,SRR994986,2.0,male ,volar forearm 
1407,SRS482648,SRR995035,2.0,male ,volar forearm 
1408,SRS482649,SRR994987,2.0,male ,volar forearm 
1409,SRS482649,SRR995036,2.0,male ,volar forearm 
1456,SRS482673,SRR995060,2.0,male ,volar forearm 
1457,SRS482673,SRR995087,2.0,male ,volar forearm 
1470,SRS482680,SRR995094,2.0,male ,volar forearm 
1471,SRS482680,SRR995138,2.0,male ,volar forearm 
1478,SRS482684,SRR995099,2.0,male ,volar forearm 
1479,SRS482684,SRR995143,2.0,male ,volar forearm 
1518,SRS482704,SRR995118,2.0,male ,volar forearm 
1519,SRS482704,SRR995162,2.0,male ,volar forearm 
1566,SRS482773,SRR995276,2.0,male ,volar forearm 
1567,SRS482773,SRR995284,2.0,male ,volar forearm 
1586,SRS482783,SRR995294,2.0,male ,volar forearm 
1587,SRS482783,SRR995362,2.0,male ,volar forearm 
1588,SRS482784,SRR995295,2.0,male ,volar forearm 
1589,SRS482784,SRR995363,2.0,male ,volar forearm 
1590,SRS482785,SRR995296,2.0,male ,volar forearm 
1591,SRS482785,SRR995364,2.0,male ,volar forearm 
