Sample_ID,Run_ID,Release_version,Sex,Body_site
SRS451892,SRR920690,2.0,female ,antecubital crease 
SRS451578,SRR919899,2.0,female ,antecubital crease 
SRS451763,SRR920212,2.0,female ,antecubital crease 
SRS451764,SRR920213,2.0,female ,antecubital crease 
SRS451458,SRR919628,2.0,female ,antecubital crease 
SRS482360,SRR994431,2.0,female ,antecubital fossa 
SRS483530,SRR996919,2.0,female ,antecubital fossa 
SRS483527,SRR996916,2.0,female ,antecubital fossa 
SRS483528,SRR996917,2.0,female ,antecubital fossa 
SRS483620,SRR997009,2.0,female ,antecubital fossa 
SRS451765,SRR920245,2.0,female ,back 
SRS451589,SRR919910,2.0,female ,back 
SRS451900,SRR920611,2.0,female ,back 
SRS451459,SRR919569,2.0,female ,back 
SRS451736,SRR920185,2.0,female ,back 
SRS451893,SRR920691,2.0,female ,external auditory canal 
SRS451737,SRR920186,2.0,female ,external auditory canal 
SRS451597,SRR919868,2.0,female ,external auditory canal 
SRS451460,SRR919630,2.0,female ,external auditory canal 
SRS451894,SRR920605,2.0,female ,external auditory canal 
SRS451739,SRR920188,2.0,female ,glabella 
SRS451587,SRR919859,2.0,female ,glabella 
SRS451895,SRR920693,2.0,female ,glabella 
SRS451768,SRR920248,2.0,female ,glabella 
SRS451461,SRR919571,2.0,female ,glabella 
SRS451599,SRR919870,2.0,female ,hypothenar palm 
SRS451770,SRR920250,2.0,female ,hypothenar palm 
SRS451897,SRR920694,2.0,female ,hypothenar palm 
SRS451740,SRR920142,2.0,female ,hypothenar palm 
SRS451598,SRR919919,2.0,female ,hypothenar palm 
SRS451742,SRR920191,2.0,female ,inguinal crease 
SRS451583,SRR919854,2.0,female ,inguinal crease 
SRS451899,SRR920610,2.0,female ,inguinal crease 
SRS451464,SRR919574,2.0,female ,inguinal crease 
SRS451771,SRR920220,2.0,female ,inguinal crease 
SRS451592,SRR919913,2.0,female ,manubrium 
SRS451744,SRR920146,2.0,female ,manubrium 
SRS451773,SRR920222,2.0,female ,manubrium 
SRS451758,SRR920207,2.0,female ,manubrium 
SRS451466,SRR919576,2.0,female ,manubrium 
SRS482922,SRR995636,2.0,female ,nare 
SRS482359,SRR994429,2.0,female ,nare 
SRS451584,SRR919855,2.0,female ,nare 
SRS483213,SRR996106,2.0,female ,nare 
SRS482861,SRR995470,2.0,female ,nare 
SRS451747,SRR920149,2.0,female ,occiput 
SRS452030,SRR920966,2.0,female ,occiput 
SRS451593,SRR919914,2.0,female ,occiput 
SRS451468,SRR919638,2.0,female ,occiput 
SRS451904,SRR920702,2.0,female ,occiput 
SRS451760,SRR920209,2.0,female ,plantar heel 
SRS451778,SRR920227,2.0,female ,plantar heel 
SRS451588,SRR919858,2.0,female ,plantar heel 
SRS451469,SRR919639,2.0,female ,plantar heel 
