#Protein	Description	MiBIG Cluster	MiBIG Product	Percent ID	Percent Coverage	BLAST Score	 Evalue
AAY93343.1	efflux_ABC_transporter,_ATP-binding/permease_protein	BGC0000413_c1	Pyoverdine_biosynthetic_gene_cluster	42	100.0	87	1.1e-17
AAY37657.1	ABC_transporter:Protein_of_unknown_function_DUF214	BGC0000437_c1	Syringomycin_biosynthetic_gene_cluster	43	73.3333333333	76	3.3e-14
AFH75332.1	macrolide_export_ATP-binding/permease_protein_MacB	BGC0000398_c1	Orfamide_biosynthetic_gene_cluster	40	73.3333333333	73	2.1e-13
AAY91423.1	efflux_ABC_transporter,_permease/ATP-binding_protein	BGC0000399_c1	Orfamide_biosynthetic_gene_cluster	41	73.3333333333	72	3.6e-13
ADO17962.1	CclG	BGC0000487_c1	Carnocyclin_biosynthetic_gene_cluster	37	105.0	72	4.7e-13
AAZ23072.1	hypothetical_protein	BGC0000291_c1	A54145_biosynthetic_gene_cluster	37	95.8333333333	71	6.2e-13
AHZ34236.1	MacB	BGC0000323_c1	Cichofactin_biosynthetic_gene_cluster	40	73.3333333333	71	1.1e-12
CAK15812.1	macrolide_ABC_efflux_protein_MacB	BGC0000344_c1	Entolysin_biosynthetic_gene_cluster	40	73.3333333333	70	1.8e-12
AHZ34249.1	MacB	BGC0001389_c1	Cichopeptin_biosynthetic_gene_cluster	41	73.3333333333	69	2.4e-12
CCM44327.1	putative_ABC_transporter_ATP-binding_protein	BGC0001056_c1	Zeamine_biosynthetic_gene_cluster	40	76.6666666667	69	2.4e-12
AFH75324.1	macrolide_export_ATP-binding/permease_protein_MacB	BGC0000425_c1	Sessilin_biosynthetic_gene_cluster	39	73.3333333333	69	3.1e-12
CCJ67642.1	macrolide_export_ATP-binding/permease_protein_MacB	BGC0000447_c1	Tolaasin_biosynthetic_gene_cluster	39	73.3333333333	69	3.1e-12
ABW17379.1	MacB	BGC0000411_c1	Putisolvin_biosynthetic_gene_cluster	40	73.3333333333	69	4e-12
