#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Staphylococcus hominis subsp. hominis C80","C80",19991,SAMN02463757 ,PRJNA38759,"Terrabacteria group","Firmicutes",GCA_000183685.1 ,2.2684,31.4,-,ACRM01,15,2280,2143,2010/11/30,2017/03/30,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/685/GCF_000183685.1_ASM18368v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/685/GCA_000183685.1_ASM18368v1
"Staphylococcus hominis subsp. hominis","K1",19991,SAMN06678637 ,PRJNA376656,"Terrabacteria group","Firmicutes",GCA_002850375.1 ,2.25341,31.4,chromosome:NZ_CP020618.1/CP020618.1,-,1,2258,2070,2018/01/03,2018/01/11,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/850/375/GCF_002850375.1_ASM285037v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/850/375/GCA_002850375.1_ASM285037v1
"Staphylococcus hominis","Staphylococcus hominis J11",19991,SAMEA104410607 ,PRJEB22856,"Terrabacteria group","Firmicutes",GCA_900240155.1 ,2.23679,31.2,chromosome I:NZ_LT963438.1/LT963438.1,-,1,2252,2119,2018/04/01,2018/05/09,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/240/155/GCF_900240155.1_J11,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/240/155/GCA_900240155.1_J11
"Staphylococcus hominis","Staphylococcus hominis J6",19991,SAMEA104410608 ,PRJEB22856,"Terrabacteria group","Firmicutes",GCA_900240185.1 ,2.23584,31.2,chromosome I:NZ_LT963442.1/LT963442.1,-,1,2245,2118,2018/04/01,2018/05/09,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/240/185/GCF_900240185.1_J6,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/240/185/GCA_900240185.1_J6
"Staphylococcus hominis","FDAARGOS_136",19991,SAMN03996281 ,PRJNA231221,"Terrabacteria group","Firmicutes",GCA_002954105.1 ,2.26805,31.5691,chromosome:NZ_CP014107.1/CP014107.1; plasmid unnamed1:NZ_CP014103.1/CP014103.1; plasmid unnamed2:NZ_CP014104.1/CP014104.1,-,7,2274,2127,2018/02/01,2018/03/04,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/954/105/GCF_002954105.1_ASM295410v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/954/105/GCA_002954105.1_ASM295410v1
"Staphylococcus hominis","MMP2",19991,SAMN04296816 ,PRJNA304219,"Terrabacteria group","Firmicutes",GCA_002026385.1 ,2.20822,31.3,-,LNTW01,74,2216,2087,2017/03/14,2017/03/16,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/026/385/GCF_002026385.1_ASM202638v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/026/385/GCA_002026385.1_ASM202638v1
"Staphylococcus hominis SK119","SK119",19991,SAMN00001902 ,PRJNA34087,"Terrabacteria group","Firmicutes",GCA_000174735.1 ,2.22624,31.3,-,ACLP01,37,2213,2106,2009/04/29,2017/11/15,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/735/GCF_000174735.1_ASM17473v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/735/GCA_000174735.1_ASM17473v1
"Staphylococcus hominis VCU122","VCU122",19991,SAMN00116834 ,PRJNA53761,"Terrabacteria group","Firmicutes",GCA_000247085.2 ,2.23217,31.6,-,AHLD01,70,2238,2098,2012/02/07,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/085/GCF_000247085.1_ASM24708v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/085/GCA_000247085.2_ASM24708v2
"Staphylococcus hominis subsp. hominis ZBW5","ZBW5",19991,SAMN02471141 ,PRJNA163345,"Terrabacteria group","Firmicutes",GCA_000269685.1 ,2.3357,31.4,-,AKGC01,47,2360,2259,2012/06/17,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/269/685/GCF_000269685.1_Stahom1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/269/685/GCA_000269685.1_Stahom1.0
"Staphylococcus hominis","As3",19991,SAMN03490874 ,PRJNA272632,"Terrabacteria group","Firmicutes",GCA_001051895.1 ,1.98363,31.5,-,LFKS01,15,1941,1829,2015/07/10,2017/04/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/051/895/GCF_001051895.1_ASM105189v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/051/895/GCA_001051895.1_ASM105189v1
"Staphylococcus hominis","As1",19991,SAMN03433700 ,PRJNA272632,"Terrabacteria group","Firmicutes",GCA_001051905.1 ,2.11314,31.5,-,LFKQ01,17,2090,1953,2015/07/10,2017/04/10,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/051/905/GCF_001051905.1_ASM105190v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/051/905/GCA_001051905.1_ASM105190v1
"Staphylococcus hominis","As2",19991,SAMN03659004 ,PRJNA272632,"Terrabacteria group","Firmicutes",GCA_001051915.1 ,2.12401,31.4,-,LFKR01,16,2108,1972,2015/07/10,2017/04/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/051/915/GCF_001051915.1_ASM105191v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/051/915/GCA_001051915.1_ASM105191v1
"Staphylococcus hominis","1288_SEPI",19991,SAMN03197259 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001069485.1 ,2.18965,31.3,-,JVVJ01,35,2140,2039,2015/07/10,2017/04/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/069/485/GCF_001069485.1_ASM106948v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/069/485/GCA_001069485.1_ASM106948v1
"Staphylococcus hominis","202_SEPI",19991,SAMN03197395 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001071725.1 ,2.24291,31.3,-,JVQD01,52,2185,2101,2015/07/10,2017/04/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/071/725/GCF_001071725.1_ASM107172v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/071/725/GCA_001071725.1_ASM107172v1
