,IdList,QueryTranslation,Genus,Species,NoStrain,Size,GC,Genes,Proteins
0,['1140'],"""Cutibacterium acnes""[Organism]",Cutibacterium,acnes,18,2.5217627777777776,60.038944444444446,2537.0,2381.0
1,['155'],"""Staphylococcus epidermidis""[Organism] OR Staphylococcus epidermidis[All Fields]",Staphylococcus,epidermidis,12,2.5984858333333336,32.09745,2580.8333333333335,2414.75
2,['2024'],"""Corynebacterium tuberculostearicum""[Organism]",Corynebacterium,tuberculostearicum,0,,,,
3,['2054'],"""Staphylococcus capitis""[Organism]",Staphylococcus,capitis,3,2.49173,32.99096666666667,2425.0,2289.6666666666665
4,['43748'],"""Corynebacterium simulans""[Organism]",Corynebacterium,simulans,2,2.668335,59.15,2503.5,2351.0
5,['530'],"""Streptococcus mitis""[Organism]",Streptococcus,mitis,3,2.0736233333333334,40.06666666666667,2047.6666666666667,1903.6666666666667
6,['2014'],"""Staphylococcus hominis""[Organism]",Staphylococcus,hominis,1,2.2534099999999997,31.4,2258.0,2070.0
7,['2077'],"""Corynebacterium aurimucosum""[Organism]",Corynebacterium,aurimucosum,1,2.81923,60.5248,2663.0,2525.0
8,['2146'],"""Corynebacterium kroppenstedtii""[Organism]",Corynebacterium,kroppenstedtii,1,2.4468,57.5,2088.0,1999.0
9,['2023'],"""Corynebacterium amycolatum""[Organism]",Corynebacterium,amycolatum,0,,,,
