#Protein	Description	MiBIG Cluster	MiBIG Product	Percent ID	Percent Coverage	BLAST Score	 Evalue
ANP43737.1	ThsF	BGC0001391_c1	Thusin_biosynthetic_gene_cluster	45	100.0	171	8.5e-43
WP_009985599.1	multidrug_ABC_transporter	BGC0001311_c1	Flavecin_biosynthetic_gene_cluster	43	96.9696969697	169	5.5e-42
BAG71487.1	immunity_protein	BGC0000536_c1	Nisin_Q_biosynthetic_gene_cluster	42	97.8354978355	164	1.4e-40
ADJ56360.1	NisF	BGC0000535_c1	Nisin_A_biosynthetic_gene_cluster	40	97.8354978355	159	5.7e-39
AAC72253.1	LctF	BGC0000521_c1	Lacticin_481_biosynthetic_gene_cluster	39	103.896103896	158	1.3e-38
AEX55154.1	putative_lantibiotic_transport_ATP-binding_protein_SlvF	BGC0000549_c1	Salivaricin_D_biosynthetic_gene_cluster	40	97.4025974026	157	1.7e-38
ABA00875.1	NsuF	BGC0000537_c1	Nisin_U_biosynthetic_gene_cluster	40	98.7012987013	157	2.2e-38
AHF21231.1	PabF	BGC0000542_c1	Paenicidin_B_biosynthetic_gene_cluster	37	102.597402597	155	1.1e-37
CAB60255.1	MrsF_protein	BGC0000527_c1	Mersacidin_biosynthetic_gene_cluster	37	100.865800866	153	2.4e-37
BAB08166.1	SrtF	BGC0000556_c1	Streptin_biosynthetic_gene_cluster	40	96.1038961039	152	6.9e-37
AFW17839.1	PaeF	BGC0000541_c1	Paenicidin_A_biosynthetic_gene_cluster	36	102.597402597	150	2.6e-36
ACX68646.1	transport_ATP-binding_protein	BGC0000547_c1	Salivaricin_9_biosynthetic_gene_cluster	39	98.7012987013	149	3.4e-36
BAJ10688.1	hypothetical_bacteriocin_immunity_protein	BGC0000561_c1	Thermophilin_1277_biosynthetic_gene_cluster	36	100.865800866	149	3.4e-36
BAC98762.1	NukF	BGC0000539_c1	Nukacin_ISK-1_biosynthetic_gene_cluster	40	95.670995671	149	4.5e-36
ABI30231.1	McdF	BGC0000526_c1	Macedocin_biosynthetic_gene_cluster	41	91.341991342	149	5.9e-36
AAL15571.1	putative_SpaF	BGC0000511_c1	Ericin_A_biosynthetic_gene_cluster	40	102.164502165	148	7.7e-36
CAB93668.2	RumF_protein	BGC0000545_c1	Ruminococcin_A_biosynthetic_gene_cluster	36	104.329004329	148	1e-35
ACA51937.2	BovF	BGC0000498_c1	Bovicin_HJ50_biosynthetic_gene_cluster	36	100.865800866	148	1e-35
AHX39585.1	ABC_transporter_protein	BGC0000626_c1	Thuricin_biosynthetic_gene_cluster	36	107.792207792	147	1.7e-35
ABP54626.1	ABC_transporter_related	BGC0000241_c1	Lomaiviticin_biosynthetic_gene_cluster	35	92.2077922078	147	1.7e-35
AAB91597.1	SpaF	BGC0000559_c1	Subtilin_biosynthetic_gene_cluster	39	103.03030303	147	1.7e-35
