#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Cutibacterium acnes KPA171202","KPA171202",20872,SAMN02603281 ,PRJNA12460,"Terrabacteria group","Actinobacteria",GCA_000008345.1 ,2.56026,60,chromosome:NC_006085.1/AE017283.1,-,1,2565,2416,2004/07/30,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/345/GCF_000008345.1_ASM834v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/345/GCA_000008345.1_ASM834v1
"Cutibacterium acnes SK137","SK137",20872,SAMN00000718 ,PRJNA31005,"Terrabacteria group","Actinobacteria",GCA_000025765.1 ,2.49533,60.1,chromosome:NC_014039.1/CP001977.1,-,1,2525,2390,2010/03/23,2017/03/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/765/GCF_000025765.1_ASM2576v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/765/GCA_000025765.1_ASM2576v1
"Cutibacterium acnes 266","266",20872,SAMN02603263 ,PRJNA56091,"Terrabacteria group","Actinobacteria",GCA_000213155.1 ,2.49458,60,chromosome:NC_017534.1/CP002409.1,-,1,2512,2370,2011/05/11,2017/03/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/155/GCF_000213155.1_ASM21315v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/155/GCA_000213155.1_ASM21315v1
"Cutibacterium acnes 6609","6609",20872,SAMN02602996 ,PRJNA66845,"Terrabacteria group","Actinobacteria",GCA_000217615.1 ,2.56028,60,chromosome:NC_017535.1/CP002815.1,-,1,2561,2411,2011/06/08,2017/03/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/217/615/GCF_000217615.1_ASM21761v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/217/615/GCA_000217615.1_ASM21761v1
"Cutibacterium acnes subsp. defendens ATCC 11828","ATCC 11828",20872,SAMN02602997 ,PRJNA73675,"Terrabacteria group","Actinobacteria",GCA_000231215.1 ,2.48863,60,chromosome:NC_017550.1/CP003084.1,-,1,2477,2259,2011/10/20,2018/01/11,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/231/215/GCF_000231215.1_ASM23121v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/231/215/GCA_000231215.1_ASM23121v1
"Cutibacterium acnes TypeIA2 P.acn33","P.acn33",20872,SAMN02602998 ,PRJNA76699,"Terrabacteria group","Actinobacteria",GCA_000240015.1 ,2.48962,60,chromosome:NC_016516.1/CP003195.1,-,1,2500,2358,2011/12/23,2018/01/11,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/015/GCF_000240015.1_ASM24001v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/015/GCA_000240015.1_ASM24001v1
"Cutibacterium acnes TypeIA2 P.acn17","P.acn17",20872,SAMN02602999 ,PRJNA76701,"Terrabacteria group","Actinobacteria",GCA_000240035.1 ,2.52289,60.1,chromosome:NC_016512.1/CP003196.1,-,1,2541,2398,2011/12/23,2018/01/11,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/035/GCF_000240035.1_ASM24003v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/035/GCA_000240035.1_ASM24003v1
"Cutibacterium acnes TypeIA2 P.acn31","P.acn31",20872,SAMN02603000 ,PRJNA76703,"Terrabacteria group","Actinobacteria",GCA_000240055.1 ,2.49877,60,chromosome:NC_016511.1/CP003197.1,-,1,2514,2374,2011/12/23,2018/01/11,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/055/GCF_000240055.1_ASM24005v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/055/GCA_000240055.1_ASM24005v1
"Cutibacterium acnes C1","C1",20872,SAMN02604070 ,PRJNA175596,"Terrabacteria group","Actinobacteria",GCA_000302515.1 ,2.519,60.1,chromosome:NC_018707.1/CP003877.1,-,1,2568,2411,2012/10/03,2017/03/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/302/515/GCF_000302515.1_ASM30251v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/302/515/GCA_000302515.1_ASM30251v1
"Cutibacterium acnes HL096PA1","HL096PA1",20872,SAMN02604074 ,PRJNA81129,"Terrabacteria group","Actinobacteria",GCA_000376705.1 ,2.54977,60.1523,chromosome:NC_021085.1/CP003293.1; plasmid unnamed:NC_021086.1/CP003294.1,-,2,2593,2455,2013/04/22,2017/04/01,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/376/705/GCF_000376705.1_ASM37670v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/376/705/GCA_000376705.1_ASM37670v1
