gene ID	gene start	gene end	gene strand	smCOG	locus_tag	annotation
WP_002518349	875385	876429	-		TIB1ST10_RS04055	iron ABC transporter permease
WP_009640340	876425	877238	-		TIB1ST10_RS04060	ABC transporter substrate-binding protein
WP_002522413	877357	877597	+		TIB1ST10_RS12370	hypothetical protein
WP_002530993	877882	878080	+		TIB1ST10_RS13355	hypothetical protein
TIB1ST10_RS13360	878066	878528	-		TIB1ST10_RS13360	macrolide ABC transporter permease
WP_002530994	878531	878876	-		TIB1ST10_RS13365	ATP-binding cassette domain-containing protein
WP_023487680	878853	879228	-		TIB1ST10_RS04075	hypothetical protein
WP_002530996	879386	879866	-		TIB1ST10_RS13370	hypothetical protein
WP_002530997	879903	880554	-		TIB1ST10_RS13375	hypothetical protein
WP_002518268	880550	880883	-		TIB1ST10_RS12385	hypothetical protein
WP_002518323	880967	881249	-		TIB1ST10_RS04095	lactococcin 972 family bacteriocin
WP_002518347	881423	883529	+		TIB1ST10_RS04100	excinuclease ABC subunit UvrB
WP_002533666	883561	883762	+		TIB1ST10_RS12390	hypothetical protein
WP_002515659	883719	884709	+		TIB1ST10_RS04105	TerC family protein
WP_014598820	884717	885374	-		TIB1ST10_RS04110	MBL fold metallo-hydrolase
WP_002550711	885419	886163	-		TIB1ST10_RS04115	maleylpyruvate isomerase family mycothiol-dependent enzyme
WP_009640160	925542	927297	+		TIB1ST10_RS13380	ATPase AAA
WP_002518275	927481	927979	-		TIB1ST10_RS04330	DNA processing protein DprA
WP_002531018	928267	929875	+		TIB1ST10_RS04335	DUF2813 domain-containing protein
WP_002531019	929875	931564	+		TIB1ST10_RS04340	ATP-dependent helicase
WP_002531022	932990	933185	-		TIB1ST10_RS12420	hypothetical protein
WP_002531024	933341	933632	-		TIB1ST10_RS12425	hypothetical protein
WP_002531025	933713	933914	+		TIB1ST10_RS12430	hypothetical protein
WP_002518318	934057	934357	-		TIB1ST10_RS04350	hypothetical protein
TIB1ST10_RS13385	934899	>935913	+		TIB1ST10_RS13385	hypothetical protein
WP_009639969	936199	938812	+		TIB1ST10_RS04365	lanthionine biosynthesis protein
WP_002531456	938822	939746	+		TIB1ST10_RS04370	lanthionine biosynthesis protein
WP_002518053	939742	940825	+		TIB1ST10_RS04375	hypothetical protein
WP_041445583	940824	942144	+		TIB1ST10_RS04380	hypothetical protein
