#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Staphylococcus capitis subsp. capitis","AYP1020",51020,SAMN02739579 ,PRJNA232502,"Terrabacteria group","Firmicutes",GCA_001028645.1 ,2.50326,32.9357,chromosome:NZ_CP007601.1/CP007601.1; plasmid pAYP1020:NZ_CP007602.1/CP007602.1,-,2,2414,2272,2015/06/12,2018/04/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/028/645/GCF_001028645.1_ASM102864v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/028/645/GCA_001028645.1_ASM102864v1
"Staphylococcus capitis","TW2795",51020,SAMD00041516 ,PRJDB4225,"Terrabacteria group","Firmicutes",GCA_002356175.1 ,2.48678,33.0952,chromosome:NZ_AP014956.1/AP014956.1; plasmid ptw2795:NZ_AP017298.1/AP017298.1,-,2,2447,2325,2017/02/01,2017/09/27,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/356/175/GCF_002356175.1_ASM235617v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/356/175/GCA_002356175.1_ASM235617v1
"Staphylococcus capitis","FDAARGOS_378",51020,SAMN07312422 ,PRJNA231221,"Terrabacteria group","Firmicutes",GCA_002591175.1 ,2.48515,32.942,chromosome:NZ_CP023966.1/CP023966.1; plasmid unnamed1:NZ_CP023967.1/CP023967.1,-,2,2414,2272,2017/10/18,2017/10/20,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/591/175/GCF_002591175.1_ASM259117v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/591/175/GCA_002591175.1_ASM259117v1
"Staphylococcus capitis C87","C87",51020,SAMN02463752 ,PRJNA38749,"Terrabacteria group","Firmicutes",GCA_000183705.1 ,2.47361,32.9,-,ACRH01,14,2452,2239,2010/11/30,2017/03/30,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/705/GCF_000183705.1_ASM18370v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/705/GCA_000183705.1_ASM18370v1
"Staphylococcus capitis CR01","CR01",51020,SAMEA3138827 ,PRJEB1494,"Terrabacteria group","Firmicutes",GCA_000499705.1 ,2.50377,32.8,-,CBUB01,8,2419,2298,2013/10/30,2017/04/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/705/GCF_000499705.1_ScapHOJ_3778_PRJEB1494,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/705/GCA_000499705.1_ScapHOJ_3778_PRJEB1494
"Staphylococcus capitis SK14","SK14",51020,SAMN00000713 ,PRJNA31013,"Terrabacteria group","Firmicutes",GCA_000174135.1 ,2.43583,32.8,-,ACFR01,32,2401,2272,2009/02/03,2017/11/15,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/135/GCF_000174135.1_ASM17413v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/135/GCA_000174135.1_ASM17413v1
"Staphylococcus capitis VCU116","VCU116",51020,SAMN00116853 ,PRJNA53751,"Terrabacteria group","Firmicutes",GCA_000221525.2 ,2.45257,32.9,-,AFTX01,38,2413,2296,2011/07/25,2017/11/22,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/221/525/GCF_000221525.1_ASM22152v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/221/525/GCA_000221525.2_ASM22152v2
"Staphylococcus capitis QN1","QN1",51020,SAMN02471139 ,PRJNA159795,"Terrabacteria group","Firmicutes",GCA_000263775.1 ,2.4301,32.8,-,AJTH01,30,2403,2231,2012/05/22,2017/11/23,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/263/775/GCF_000263775.1_StacapQN11.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/263/775/GCA_000263775.1_StacapQN11.0
"Staphylococcus capitis","LNZR-1",51020,SAMN02680303 ,PRJNA240935,"Terrabacteria group","Firmicutes",GCA_000712995.1 ,2.59586,32.7,-,JGYJ01,90,2487,2428,2014/06/27,2017/04/02,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/712/995/GCF_000712995.1_StaCap1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/712/995/GCA_000712995.1_StaCap1.0
"Staphylococcus capitis","1157_SAUR",51020,SAMN03197113 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001062085.1 ,2.55353,32.8,-,JWAZ01,56,2440,2362,2015/07/10,2017/04/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/062/085/GCF_001062085.1_ASM106208v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/062/085/GCA_001062085.1_ASM106208v1
"Staphylococcus capitis","558_SAUR",51020,SAMN03197757 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001063695.1 ,2.58486,32.9,-,JVCF01,40,2478,2392,2015/07/10,2017/04/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/063/695/GCF_001063695.1_ASM106369v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/063/695/GCA_001063695.1_ASM106369v1
"Staphylococcus capitis","1090_SEPI",51020,SAMN03197053 ,PRJNA267549,"Terrabacteria group","Firmicutes",GCA_001069195.1 ,2.4232,32.8,-,JWDH01,70,2282,2228,2015/07/10,2017/04/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/069/195/GCF_001069195.1_ASM106919v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/069/195/GCA_001069195.1_ASM106919v1
